,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_1,-33.619864949921634,-39.61287631472044,5.993011364798804,0:00:05.451304,0
gene_2,-51.33815774620685,-50.011510349994296,-1.3266473962125573,0:00:03.368437,0
gene_3,-45.863283431233015,-47.002326271421,1.139042840187983,0:00:01.712239,0
gene_4,-53.17515238920505,-51.72684122353567,-1.4483111656693808,0:00:04.429662,1
gene_5,-65.96171248523684,-73.25106627923091,7.289353793994067,0:00:02.000779,0
gene_6,-63.02510640422858,-59.967229489013405,-3.057876915215175,0:00:03.197604,0
gene_7,-43.87234191749831,-49.01249641671597,5.140154499217658,0:00:02.520628,0
gene_8,-62.085134916721515,-60.139336775982606,-1.9457981407389084,0:00:04.391984,3
gene_9,-38.336170476499476,-45.233707355619806,6.897536879120331,0:00:01.713085,0
gene_10,-54.79066567269071,-53.885464247800954,-0.9052014248897535,0:00:01.816633,0
gene_11,-63.81210029850879,-70.12797589943489,6.315875600926098,0:00:01.810885,0
gene_12,-57.433573301760134,-55.97972579660792,-1.4538475051522113,0:00:04.540021,3
gene_13,-33.49867505753357,-35.13265019983069,1.6339751422971247,0:00:06.155789,0
gene_14,-51.09941938145079,-50.34016299893893,-0.7592563825118575,0:00:02.690613,1
gene_15,-31.45252643008553,-36.36335691266051,4.910830482574976,0:00:01.763179,0
gene_16,-47.5576210863239,-46.1605259080158,-1.3970951783080992,0:00:01.887591,0
gene_17,-41.7367357418194,-43.199748755979755,1.463013014160353,0:00:01.694325,0
gene_18,-50.012505055893435,-49.12660952570341,-0.8858955301900266,0:00:02.654163,1
gene_19,-48.613483475388364,-49.20976398830494,0.5962805129165787,0:00:01.733858,0
gene_20,-60.39199332878116,-59.64895876990526,-0.7430345588758982,0:00:02.659785,1
gene_21,-48.53047911462317,-51.54413394493202,3.0136548303088517,0:00:01.716997,0
gene_22,-58.19591773975325,-56.64112721063325,-1.5547905291199982,0:00:01.985081,0
gene_23,-70.80567269986479,-82.79567882923452,11.990006129369732,0:00:01.818473,0
gene_24,-59.87302560780207,-58.30609747461689,-1.5669281331851792,0:00:02.833962,1
gene_25,-35.815766806524074,-37.420140834756424,1.6043740282323498,0:00:01.689850,0
