,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,Dynamic_time,Constant_time
gene_315,-49.11089010186167,-54.65637674836291,5.545486646501239,0:00:00.887357,0:00:00.887357
gene_316,-66.04898891181449,-63.829598241449126,0.0,0:00:01.044399,0:00:01.044399
gene_317,-34.747997661653756,-34.74799712784412,0.0,0:00:00.917896,0:00:00.917896
gene_318,-47.81881842753966,-46.172075970780604,0.0,0:00:02.338863,0:00:02.338863
gene_319,-43.05008266060163,-44.328430837134974,1.278348176533342,0:00:00.898269,0:00:00.898269
gene_320,-69.11131088411514,-66.57641670712073,0.0,0:00:00.976649,0:00:00.976649
gene_321,-62.513225268166664,-62.5132236060758,0.0,0:00:01.087669,0:00:01.087669
gene_322,-68.24225228227635,-65.52542674546527,0.0,0:00:02.939545,0:00:02.939545
gene_323,-45.677074959870595,-51.84960846954538,6.1725335096747855,0:00:02.923973,0:00:02.923973
gene_324,-86.53408021048834,-85.43450349380797,0.0,0:00:02.239191,0:00:02.239191
gene_325,-58.827146764974344,-63.22531285948391,4.398166094509563,0:00:00.941992,0:00:00.941992
gene_326,-83.28649278743327,-79.43356713626814,0.0,0:00:01.150575,0:00:01.150575
gene_327,-85.22440677900845,-89.84053359933901,4.616126820330564,0:00:00.962421,0:00:00.962421
gene_328,-79.30519290577868,-76.31950173035094,0.0,0:00:03.640127,0:00:03.640127
gene_329,-45.36851084254346,-56.66108200985977,11.29257116731631,0:00:00.917486,0:00:00.917486
gene_330,-87.38935640662214,-84.17061810265646,0.0,0:00:01.279171,0:00:01.279171
gene_331,-50.520770555377815,-55.833575950330356,5.312805394952541,0:00:00.889969,0:00:00.889969
gene_332,-77.52961034251796,-74.26472412633268,0.0,0:00:01.112622,0:00:01.112622
gene_333,-79.4596874513391,-87.74730888784833,8.28762143650924,0:00:00.927765,0:00:00.927765
gene_334,-79.96699616277648,-76.59661467794675,0.0,0:00:01.070537,0:00:01.070537
