,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_74,-189.45322285637357,-182.32581281014774,-7.127410046225833,0:00:13.802602,0
gene_75,-1646.1910326754091,-16408.821201782033,14762.630169106624,0:00:04.341926,0
gene_76,-136.17106402928013,-134.476244518789,-1.6948195104911292,0:00:16.451471,0
gene_77,-890.0902075585867,-9659.533430938522,8769.443223379934,0:00:03.491774,0
gene_78,-116.92298225072895,-115.22098628814886,-1.7019959625800851,0:00:05.943052,0
gene_79,-4584.251716152798,-12640.79513439954,8056.543418246742,0:00:03.691358,0
gene_80,-181.3135278599636,-184.3022591381274,2.988731278163783,0:00:04.935188,0
gene_81,-7159.906917398314,-13837.424001198675,6677.5170838003605,0:00:03.346333,0
gene_82,-158.8283338942213,-153.05281326274286,-5.775520631478429,0:00:10.622498,0
gene_83,-8226.239774664215,-35995.68652658954,27769.446751925323,0:00:02.655687,0
gene_84,-194.86634020650635,-203.300043672557,8.433703466050645,0:00:08.020514,0
gene_85,-19144.69413673329,-58506.26977917273,39361.57564243944,0:00:10.611567,0
gene_86,-145.75221531016982,-138.21619624977419,-7.536019060395631,0:00:09.310475,0
gene_87,-5362.700091424588,-26557.68109136562,21194.98099994103,0:00:03.306288,0
gene_88,-118.93842388784222,-115.63432400684549,-3.3040998809967306,0:00:11.407888,0
gene_89,-3774.4525753075764,-11323.384969941986,7548.93239463441,0:00:02.961351,0
gene_90,-134.6343460791357,-133.16645845303918,-1.4678876260965126,0:00:05.976041,0
gene_91,-5678.338226626446,-24781.49505959793,19103.156832971486,0:00:02.882213,0
gene_92,-148.1800004618593,-122.5900751279949,-25.5899253338644,0:01:08.574623,0
gene_93,-2001.6865378482396,-11102.807507616604,9101.120969768364,0:00:02.961860,0
gene_94,-105.95407892271416,-102.61192998911393,-3.342148933600228,0:00:17.329190,0
gene_95,-1539.6143323747058,-5983.427238594966,4443.812906220261,0:00:04.627460,0
gene_96,-100.9169907618131,-97.10069331113026,-3.816297450682839,0:00:15.358858,0
gene_97,-8137.435011091524,-16380.78860241095,8243.353591319426,0:00:03.399393,0
gene_98,-165.677636047668,-159.64350462433677,-6.0341314233312175,0:00:07.192429,0
gene_99,-7501.56438564905,-39826.84224009527,32325.27785444622,0:00:04.934176,0
gene_100,-190.17928310835836,-184.00888342295121,-6.170399685407148,0:00:15.633967,0
gene_101,-3442.0669006198004,-33428.140785025265,29986.073884405465,0:00:04.970550,0
gene_102,-194.13489123452484,-161.6567304086542,-32.478160825870646,0:01:21.621862,0
gene_103,-13103.593477443681,-54379.57502489962,41275.98154745594,0:00:02.528533,0
gene_104,-255.8874502151425,-317.1461360705237,61.2586858553812,0:00:11.455531,0
gene_105,-8668.482627764937,-26907.441490050733,18238.958862285795,0:00:05.128843,0
gene_106,-173.960648922818,-187.330091394175,13.369442471357019,0:00:06.529721,0
gene_107,-6287.5751104727815,-15600.019122462896,9312.444011990116,0:00:02.862663,0
gene_108,-140.7494243112015,-138.85080102542878,-1.8986232857727146,0:00:05.468783,0
gene_109,-13722.307924335812,-30815.626371797727,17093.318447461916,0:00:11.253093,0
gene_110,-290.2556507194572,-327.680640909165,37.424990189707785,0:00:10.673200,0
gene_111,-11751.86733680628,-35943.582019047666,24191.714682241385,0:00:02.901541,0
gene_112,-183.26499522921864,-203.54795665432417,20.282961425105526,0:00:09.554754,0
gene_113,-13126.33654956766,-51094.74401295794,37968.40746339028,0:00:03.672206,0
gene_114,-153.86643553210192,-184.07709708494653,30.210661552844613,0:00:06.545418,0
gene_115,-19256.226388736104,-38014.99939089973,18758.773002163623,0:00:02.691305,0
gene_116,-234.15833907608405,-291.36345449672774,57.20511542064369,0:00:09.212392,0
gene_117,-1135.3814018416253,-31027.341685283263,29891.960283441636,0:00:02.937235,0
gene_118,-201.89677398057694,-216.1725026376649,14.275728657087967,0:00:06.918405,0
gene_119,-6852.844650825879,-42484.21893747325,35631.37428664737,0:00:03.418691,0
gene_120,-187.69039879182463,-183.82639717084606,-3.86400162097857,0:00:05.545140,0
gene_121,-2598.4068192678615,-9479.950645026573,6881.543825758711,0:00:02.812704,0
gene_122,-137.24725147551172,-133.88010034175798,-3.3671511337537368,0:00:11.928697,0
gene_123,-13081.963900309785,-81309.00786296367,68227.04396265389,0:00:03.345187,0
gene_124,-233.4474938175244,-245.73870537886836,12.291211561343971,0:00:09.225527,0
gene_125,-32537.3254443445,-99482.98753153424,66945.66208718973,0:00:02.849550,0
gene_126,-585.3196114582929,-668.0603004009405,82.74068894264758,0:00:10.848136,0
gene_127,-4787.965822984492,-34181.46166623529,29393.4958432508,0:00:03.857649,0
gene_128,-283.79492620443665,-292.97894992309045,9.184023718653805,0:00:09.786131,0
gene_129,-3161.3343455681515,-16250.424441918041,13089.09009634989,0:00:02.708211,0
gene_130,-169.21326023867493,-166.57149001603307,-2.641770222641867,0:00:16.534324,0
gene_131,-3318.429996077224,-9245.857333898959,5927.427337821735,0:00:02.713992,0
gene_132,-161.41970382339292,-131.81377214689851,-29.605931676494407,0:01:15.512061,0
gene_133,-18598.6141154574,-34436.446328064194,15837.832212606794,0:00:02.846405,0
gene_134,-200.1040580973757,-214.27157445018327,14.167516352807553,0:00:05.235370,0
gene_135,-19219.158857380462,-35303.17442381803,16084.01556643757,0:00:02.834474,0
gene_136,-176.24230136517522,-173.5463182451371,-2.695983120038136,0:00:08.909891,0
