,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_1,-32.92245053316798,-37.37204028618045,4.449589753012468,0:00:00.639119,0
gene_2,-15.513499492825197,-15.513498610502875,-8.823223218712428e-07,0:00:00.603219,0
gene_3,-32.702019366137094,-32.160857315464405,-0.5411620506726891,0:00:00.547374,0
gene_4,-15.042664179505715,-15.042227636387572,-0.00043654311814300684,0:00:00.545380,0
gene_5,-29.01388209334662,-36.61649330985811,7.602611216511487,0:00:00.584055,0
gene_6,-14.271902263791901,-14.27189410613305,-8.15765885064934e-06,0:00:00.559428,0
gene_7,-29.81681041826984,-31.42578448799729,1.6089740697274522,0:00:00.568504,0
gene_8,-9.333471882861328,-9.334027015255558,0.0005551323942292186,0:00:00.656775,0
gene_9,-31.089161373775802,-31.936773528819575,0.8476121550437732,0:00:00.616007,0
gene_10,-9.197188593422979,-9.291062232975904,0.09387363955292471,0:00:00.667207,0
gene_11,-28.088051057155013,-31.539671940096817,3.4516208829418034,0:00:00.721421,0
gene_12,-6.247073679496996,-6.281721430847892,0.03464775135089582,0:00:00.827110,0
gene_13,-31.983533229472084,-31.98345971914681,-7.351032527225243e-05,0:00:00.815927,0
gene_14,-13.034857525380225,-13.034856723434771,-8.01945454043107e-07,0:00:00.670469,0
gene_15,-34.59100754313238,-34.58994068428583,-0.0010668588465492235,0:00:00.601657,0
gene_16,-12.164709710696412,-12.164709478034965,-2.326614474412736e-07,0:00:00.971354,0
gene_17,-25.4902702890073,-25.490216591338694,-5.3697668604968385e-05,0:00:00.716240,0
gene_18,-8.670952742355347,-8.670917133911551,-3.5608443795354106e-05,0:00:00.908188,0
gene_19,-24.082048237154755,-24.082033262317346,-1.4974837409198472e-05,0:00:00.834554,0
gene_20,-7.641864657139568,-7.6698209576262,0.027956300486632557,0:00:00.834297,0
gene_21,-27.492105786670624,-33.38815292758806,5.896047140917435,0:00:00.748302,0
gene_22,-11.450739935578367,-11.450711563556467,-2.8372021899869537e-05,0:00:00.693832,0
gene_23,-23.784724568996584,-31.422157233487457,7.637432664490873,0:00:00.879767,0
gene_24,-8.082296938220694,-8.082282697865281,-1.4240355412198369e-05,0:00:00.914140,0
gene_25,-31.312283945720324,-32.424188111694555,1.1119041659742308,0:00:00.755029,0
gene_26,-11.974194320329339,-11.973254291490678,-0.0009400288386611777,0:00:00.966154,0
gene_27,-29.20933887705078,-31.398761102250596,2.1894222251998166,0:00:00.950487,0
