,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
G1161,-596.0306937837379,-742.9875616847551,146.95686790101718
G601,-533.3122622339775,-657.2994078711073,123.98714563712964
G2322,-458.45758308599517,-583.4164971249295,124.95891403893431
G8586,-533.1820864253547,-645.498645741546,112.3165593161915
G772,-528.6683666519858,-640.0688541564158,111.40048750442976
G2,-376.9223977561982,-448.33133215684825,71.40893440065004
G565,-502.9227220472917,-600.505873571615,97.58315152432327
G16733,-424.78652507937636,-512.7466794626794,87.96015438330299
G1264,-501.36762154802636,-619.6708436395501,118.3032220915236
G18889,-377.6334141653498,-534.0671178612554,156.43370369590554
G7048,-579.4004054894192,-681.8940101616013,102.49360467218209
G24573,-491.1649907887255,-631.1637318399906,139.99874105126514
G17448,-406.382814853796,-487.3641796540094,80.98136480021344
G3016,-430.35275816876435,-503.22486034309935,72.87210217433511
G2217,-413.0740568424888,-479.6386364829612,66.5645796404724
G19135,-345.2576708764819,-404.1229776438928,58.86530676741086
G15476,-479.3594439774373,-594.3354353366524,114.97599135921513
G17911,-457.95618539449447,-524.3680572100885,66.41187181559404
G722,-587.738631290789,-688.3346066118901,100.59597532110092
G4093,-465.0395608468786,-551.6062694005318,86.56670855365326
G21461,-347.76621825698754,-415.6148379989078,67.84861974192022
G3493,-389.1706199292448,-458.0219427274652,68.85132279822035
G23390,-549.1757789188287,-631.393967975463,82.2181890566344
G18110,-352.381804595806,-443.59692030155156,91.21511570574565
G1927,-363.7252517349625,-449.566721537617,85.8414698026545
G5489,-308.06042258478857,-453.93740629622766,145.87698371143904
G19456,-512.7283573159174,-611.7043568936867,98.97599957776936
G15348,-445.8558692380892,-518.3876663335031,72.53179709541394
G10829,-376.3557785424048,-439.15224226337233,62.79646372096744
G957,-518.3948117661778,-573.9843672952485,55.58955552907071
G1886,-406.11278427874566,-465.33408184298065,59.22129756423504
G3087,-277.3917289677776,-435.5654082404437,158.17367927266602
G4856,-713.7356765718321,-723.8982791787791,10.162602606947077
G5809,-253.20520307372936,-421.37384547450137,168.16864240077206
G16979,-365.3278959604775,-423.61223292511903,58.284336964641454
G10032,-375.5228164071064,-448.78006692119095,73.25725051408455
G23138,-527.6339963651973,-594.119295994442,66.48529962924475
G23311,-306.10277481974407,-354.4630553877706,48.360280568026546
G5129,-644.0912444978712,-682.8511054274509,38.75986092957965
G3019,-699.8384792465782,-717.5020172544812,17.663538007902844
G5933,-665.0329588713691,-695.0187307326834,29.98577186131422
G16708,-444.668676096154,-508.2514182024319,63.582742106277855
G1116,-489.84063152319777,-549.1608295318747,59.32019800867686
G22270,-324.90355457794107,-395.48548745413683,70.58193287619571
G1325,-304.8062889347557,-373.6268328378382,68.82054390308252
G1563,-322.2492781908288,-411.85618394879975,89.60690575797095
G2943,-278.92246872789366,-319.8481895985387,40.92572087064502
G4076,-210.63572193884272,-248.50027276447116,37.86455082562844
G20820,-550.962813934476,-656.8349526861786,105.87213875170255
G15532,-364.3690633451529,-423.70465701113886,59.335593665985975
G8926,-668.9292710211993,-717.9965158858936,49.0672448646942
G17580,-232.30943595806545,-388.1504570033125,155.84102104524703
G4269,-364.86668987132566,-372.0050528002696,7.13836292894382
G6775,-360.00241677658755,-419.516559309053,59.5141425324655
G19847,-422.341880036828,-470.3795023111258,48.03762227429786
H1826,-462.1594793418241,-462.1594774306965,-1.911127583298366e-06
H829,-406.5264508545111,-406.5264439597188,-6.894792306866292e-06
G5495,-310.03270856252135,-390.20938455753287,80.17667599501152
G17755,-403.4810222241171,-444.0637420365494,40.58271981243229
G708,-549.6561123405795,-558.2526489554147,8.596536614835145
G1221,-124.90299935269128,-304.6414109390263,179.73841158633496
G23359,-339.88210100230214,-379.3819992688729,39.49989826657071
G2218,-331.8335656819882,-386.42778373022463,54.59421804823637
G8740,-295.5926341810616,-338.4105056216222,42.817871440560616
G21137,-641.4062596367227,-653.8378850532832,12.431625416560678
G21443,-399.0487824797754,-423.23905033332,24.19026785354464
G7162,-198.56512574669398,-322.6448814675808,124.07975572088684
G934,-308.418550229082,-344.94741084708994,36.52886061800797
H319,-257.341577924421,-257.3408736919743,-0.0007042324467079197
G22642,-244.0395611980698,-283.5352714367567,39.495710238686904
G22032,-325.8160080844281,-362.6751232998676,36.859115215439495
G5029,-323.5935757244124,-334.0774745796461,10.483898855233805
