"","V1"
"1",15.4750601156342
"2",18.8736791692099
"3",5.36866711832072
"4",14.3697455693935
"5",8.5257627200009
"6",15.7004913280457
"7",23.3485969239058
"8",21.2858853717977
"9",3.8769192984798
"10",24.3078130063715
"11",4.60154489980255
"12",15.8023054601421
"13",23.4617218613783
"14",13.571510749282
"15",4.01771891932995
"16",1.79275190900072
"17",16.9778983704834
"18",24.7233525040056
"19",19.506656861796
"20",17.8863025370494
"21",0.426285881569463
"22",1.79720969724375
"23",18.7750777685285
"24",16.0867521950789
"25",1.84726152768309
"26",23.4736553966306
"27",10.4261824219787
"28",2.87547147955058
"29",14.2490594322984
"30",4.07448905172257
"31",5.33703530037988
"32",8.5257627200009
"33",24.9689313631721
"34",2.19558273635447
"35",2.56865741945578
"36",13.0021389496643
"37",10.5506551501363
"38",9.4206725196067
"39",8.58362668248476
"40",23.8068500280001
"41",2.09983347455576
"42",6.48202680607376
"43",0.478981817672479
"44",14.7656235248903
"45",16.2421579293307
"46",1.91014660070891
"47",2.53101978638082
"48",24.2919770147897
"49",24.1878172013738
"50",15.4082359015454
"51",19.6228538971056
"52",17.8203376415953
"53",14.3449296785195
"54",15.7340451656596
"55",24.8291647257267
"56",8.49460868431574
"57",13.484016355884
"58",24.466021466651
"59",23.3969329154849
"60",3.34798215296252
"61",0.768244131726817
"62",22.2333978163163
"63",5.0174738114765
"64",22.7812729409117
"65",8.49460868431574
"66",17.8832671024256
"67",19.5050664951536
"68",17.9142838722238
"69",23.0858315949571
"70",4.80587324512785
"71",1.02650851663648
"72",3.45274275076256
"73",13.8488938961416
"74",10.661771247344
"75",25.233794230158
"76",25.3128437326884
"77",23.4318734254492
"78",16.6363350555885
"79",26.8380250037927
"80",21.0360933340424
"81",3.01171573959606
"82",17.2021121095193
"83",12.4960986792077
"84",0.550696997181921
"85",9.48867503322634
"86",25.1296853240085
"87",18.1244517880315
"88",1.654719265176
"89",15.1464396983762
"90",1.21544021220292
"91",18.3399844712334
"92",24.1239914449538
"93",16.5221868277205
"94",8.81485942250667
"95",15.3683935481114
"96",5.09412741669882
"97",8.5257627200009
"98",19.6187146571966
"99",9.31028085046517
"100",5.00785963516574
"101",1.39404651229101
"102",23.1188449120479
"103",4.19184392063737
"104",23.0132388179029
"105",9.45267785284272
"106",23.1067520204188
"107",10.5676820735528
"108",20.4565650143779
"109",26.4597217593241
"110",20.9215014117238
"111",13.2798790321532
"112",3.35199858896234
"113",2.77940293377603
"114",15.4995739611982
"115",10.5676820735528
"116",11.2084992858393
"117",27.2203088581335
"118",20.0155120232871
"119",23.4077197088166
"120",3.72049883539655
"121",16.5999838056813
"122",15.7585680511131
"123",5.09601218283456
"124",21.9245050100703
"125",10.7856175587396
"126",16.0377627780876
"127",16.5761660265797
"128",24.1095137079594
"129",10.9347374211776
"130",16.6349190477465
"131",2.52819973483679
"132",23.0457628892459
"133",14.521235905863
"134",26.8548324450293
"135",26.4631480110082
"136",15.2649889627022
"137",18.7750777685285
"138",15.3723753985836
"139",15.2831663967265
"140",8.5257627200009
"141",20.5645809999645
"142",21.6670776659497
"143",4.44950724376516
"144",10.8819659119349
"145",25.9705563020725
"146",3.76218635044093
"147",0
"148",3.42577537139487
"149",23.8730176805817
"150",10.3987032200494
"151",13.660697448537
"152",14.896130027614
"153",0.0539075386042669
"154",17.5458381795884
"155",10.4102327006166
"156",1.06894402876182
