,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,Dynamic_time,Constant_time
gene_370,-11108.11143939125,-12386.432045019443,1278.3206056281924,0:00:01.897166,0:00:01.897166
gene_371,-3345.435251945458,-48929.29465361158,45583.85940166612,0:00:02.474294,0:00:02.474294
gene_372,-5491.265757301265,-6497.389615415795,1006.1238581145299,0:00:01.968403,0:00:01.968403
gene_373,-14326.529521364875,-38483.88426514831,24157.35474378343,0:00:09.651248,0:00:09.651248
gene_374,-3566.4377855651546,-4953.667637702109,1387.229852136954,0:00:02.477916,0:00:02.477916
gene_375,-3930.19328918759,-58639.03331988641,54708.84003069882,0:00:03.771231,0:00:03.771231
gene_376,-12947.407215478446,-16739.701296956668,3792.2940814782214,0:00:01.196251,0:00:01.196251
gene_377,-5710.05505273467,-39622.74172896072,33912.68667622605,0:00:01.309116,0:00:01.309116
gene_378,-13012.582187690758,-18118.14945212818,5105.567264437421,0:00:02.520839,0:00:02.520839
gene_379,-16856.890853949015,-58981.84814113777,42124.95728718876,0:00:02.016847,0:00:02.016847
gene_380,-14757.373571103655,-15254.598084771667,497.22451366801215,0:00:01.685913,0:00:01.685913
gene_381,-24157.993763194754,-77114.77971084794,52956.78594765319,0:00:01.196533,0:00:01.196533
gene_382,-27053.32958015272,-46060.53721026706,19007.20763011434,0:00:01.111818,0:00:01.111818
gene_383,-10046.276601534026,-68956.56352448033,58910.2869229463,0:00:03.000261,0:00:03.000261
gene_384,-19464.035242316877,-29296.58168748538,9832.546445168504,0:00:02.105852,0:00:02.105852
gene_385,-21947.373408808944,-108413.49400848789,86466.12059967895,0:00:02.189163,0:00:02.189163
gene_386,-83419.48027020425,-100126.71879849947,16707.238528295216,0:00:03.628373,0:00:03.628373
gene_387,-9434.439408232643,-51002.658297808244,41568.2188895756,0:00:01.834483,0:00:01.834483
gene_388,-33411.32650770625,-41607.86539488005,8196.538887173796,0:00:01.836952,0:00:01.836952
gene_389,-5761.907339743491,-29615.028300282018,23853.120960538527,0:00:01.768956,0:00:01.768956
gene_390,-21826.75074727211,-27296.70768516943,5469.956937897317,0:00:01.952332,0:00:01.952332
gene_391,-14130.897926973537,-111168.85463431662,97037.95670734308,0:00:01.891788,0:00:01.891788
gene_392,-30119.606264850103,-42843.98995386941,12724.383689019305,0:00:01.082099,0:00:01.082099
gene_393,-5277.053245877694,-55768.108732843415,50491.05548696572,0:00:02.189030,0:00:02.189030
gene_394,-22698.34145454971,-26098.08942081213,3399.747966262421,0:00:01.974661,0:00:01.974661
gene_395,-4111.139567984355,-49475.95611749122,45364.81654950687,0:00:01.788016,0:00:01.788016
gene_396,-12986.055356206693,-16055.68317311877,3069.627816912078,0:00:02.054980,0:00:02.054980
gene_397,-15449.26279816787,-34143.93335296296,18694.670554795088,0:00:08.550475,0:00:08.550475
gene_398,-18618.505294375747,-26151.380147518987,7532.874853143239,0:00:02.379684,0:00:02.379684
gene_399,-5908.303906043396,-13545.837683668731,7637.5337776253355,0:00:01.380703,0:00:01.380703
gene_400,-7996.846261171074,-10320.472410395369,2323.6261492242947,0:00:02.121487,0:00:02.121487
