,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
ENSMUSG00000028232,-669.1833490710387,-664.13627344508,-5.047075625958769,0:00:00.984032,0
ENSMUSG00000028233,-647.081997681212,-664.9387794483584,17.856781767146458,0:00:00.914486,0
ENSMUSG00000028234,-170.97579606800218,-159.79951343213895,-11.176282635863231,0:00:00.734374,0
ENSMUSG00000028243,-676.4428172433225,-674.2370660200575,-2.205751223264997,0:00:00.936698,0
ENSMUSG00000028245,-685.6680474601548,-684.0710175763453,-1.597029883809455,0:00:00.949245,0
ENSMUSG00000028246,-619.7129841838652,-616.67442190189,-3.038562281975146,0:00:00.887751,0
ENSMUSG00000028247,-500.32549897562103,-498.78963643706163,-1.5358625385593996,0:00:00.836652,0
ENSMUSG00000028248,-502.3088438297849,-491.41488914944335,-10.893954680341551,0:00:00.825791,0
ENSMUSG00000028249,-487.1990112839558,-472.8624825097842,-14.336528774171654,0:00:00.701797,0
ENSMUSG00000028251,-600.6677556104178,-599.5088501035738,-1.1589055068440075,0:00:00.949063,0
ENSMUSG00000028252,-676.7640345476938,-672.3352365821462,-4.428797965547574,0:00:00.984125,0
ENSMUSG00000028256,-643.8518152286797,-642.7912995474209,-1.0605156812588348,0:00:00.843601,0
ENSMUSG00000028261,-658.5188313987451,-653.3795167839826,-5.1393146147624975,0:00:01.006597,0
ENSMUSG00000028262,-41.09861157149015,-40.59610485792854,-0.5025067135616155,0:00:01.029781,0
ENSMUSG00000028264,-391.14546542185695,-389.9002238298638,-1.2452415919931354,0:00:00.891841,0
ENSMUSG00000028266,-486.2578633496617,-485.1384511629283,-1.1194121867334275,0:00:01.031719,0
ENSMUSG00000028268,-26.800466336166323,-26.791609596131593,-0.008856740034730137,0:00:00.951233,0
ENSMUSG00000028270,-28.83145855523719,-28.96575258513468,0.1342940298974895,0:00:00.825201,0
ENSMUSG00000028271,-672.2672267177221,-666.4149076986598,-5.852319019062293,0:00:00.949944,0
ENSMUSG00000028273,-663.7506869381932,-661.079812135979,-2.670874802214257,0:00:00.809022,0
