Sample,Pseudotime
aP18_1_07,4.0446704873
aP15_2_09,4.0951690323
aP60_4_06,4.0962356124
aP60_1_04,4.1042419056
aP9_2_18,4.1311143897
aP18_3_02,4.1365664391
aP9_3_06,4.1418327958
aP15_2_02,4.3592345625
aP60_3_15,4.3634023945
aP60_2_15,4.4256338716
aP9_4_09,4.4468682551
aP18_3_10,4.4541600846
aP18_2_07,4.4589983757
aP15_2_20,4.4768405347
aP60_1_03,4.5136885023
aP60_4_14,4.5381762632
aP18_3_05,4.552638368
aP60_2_05,4.5558153402
aP18_2_06,4.5770650041
aP15_2_05,4.578893723
aP60_5_11,4.6486645181
aP60_1_15,4.6589449748
aP18_3_04,4.6944979827
aP60_2_11,4.769430747
aP60_3_02,4.7865583441
aP9_4_13,4.7948845592
aP60_4_02,4.8132026533
aP15_2_10,4.8628097028
aP9_2_21,4.8673181462
aP60_3_07,4.8681952465
aP60_4_08,4.877750116
aP9_2_13,4.8882234204
aP60_1_09,4.8926795066
aP18_2_04,4.9040891976
aP9_2_14,4.9318113105
aP18_1_06,4.9357417171
aP60_1_05,4.9536416747
aP60_4_09,4.9580369194
aP60_5_04,4.9924703344
aP18_2_13,5.0155157203
aP18_3_09,5.0155611638
aP60_2_02,5.033244239
aP60_2_13,5.0334560261
aP15_1_13,5.0436138879
aP9_4_03,5.0713704991
aP60_3_01,5.0750418035
aP18_2_08,5.0819416536
aP18_2_03,5.1037227108
aP60_1_12,5.1331189472
aP60_3_14,5.1474436258
aP15_2_13,5.2312447843
aP18_2_12,5.2430105045
aP60_2_07,5.2485935434
aP15_1_23,5.2596821053
aP60_2_12,5.2603845176
aP18_2_01,5.3016640016
aP9_4_15,5.3069097915
aP15_1_10,5.334348863
aP18_3_07,5.3475906446
aP60_1_08,5.3490969179
aP9_4_05,5.3726631996
aP60_4_11,5.375107104
aP18_1_15,5.3775614595
aP60_4_01,5.3785195357
aP60_5_06,5.3862021205
aP15_1_11,5.3871333082
aP60_4_12,5.3927331345
aP60_4_07,5.4188506651
aP60_2_16,5.4209328314
aP9_4_08,5.4406594624
aP18_2_05,5.4410463846
aP9_4_07,5.480919872
aP60_1_06,5.5069653944
aP60_1_17,5.5242708718
aP18_1_02,5.5282041345
aP18_1_08,5.5289286344
aP18_2_10,5.5377585336
aP18_1_19,5.5568010792
aP60_4_15,5.5575034747
aP60_2_01,5.5589822038
aP60_1_18,5.5671156568
aP15_1_19,5.5867759755
aP15_2_06,5.607762183
aP15_2_03,5.6228938818
aP60_2_04,5.6459760796
aP15_2_07,5.6571618672
aP15_2_08,5.7113981853
aP60_5_01,5.7199135637
aP60_3_06,5.7206695176
aP18_1_13,5.7277188423
aP60_3_04,5.7295305525
aP60_5_15,5.7394813782
aP60_4_05,5.7440763658
aP15_1_05,5.7524984624
aP60_2_06,5.7844174434
aP18_3_06,5.7915197888
aP18_1_12,5.8417809678
aP60_3_13,5.8627841331
aP60_3_10,5.8941763839
aP60_4_04,5.9117817872
aP18_3_08,5.9830145105
aP60_5_14,5.9883281529
aP9_4_01,6.017641197
aP60_2_14,6.0180816955
aP60_3_03,6.0351047727
aP18_3_03,6.0361051796
aP60_4_13,6.0392799454
aP60_5_13,6.0887502941
aP60_4_10,6.1279773056
aP60_2_10,6.1663389197
aP60_4_03,6.177138218
aP60_5_08,6.2186479603
aP15_2_01,6.2295209175
aP60_1_16,6.2470516359
aP60_5_12,6.2633009391
aP15_1_09,6.285714302
aP60_3_09,6.3215700412
