,GSM1368273,GSM1368274,GSM1368275,GSM1368276,GSM1368277,GSM1368278,GSM1368279,GSM1368280,GSM1368281,GSM1368282,GSM1368283,GSM1368284,GSM1368285,GSM1368286,GSM1368287,GSM1368288,GSM1368289,GSM1368290
SPBC1604.09c,77.1015628617628,76.8990386391304,88.4368168064523,90.2032705762101,80.85891450231529,26.088005026897303,49.024129210229596,41.3464951347811,25.328618689911497,83.15473952532099,52.4681347561016,59.7713458601037,80.798416682189,82.2457999473013,63.025859734490204,124.332544454462,78.894169134016,104.51994682015801
SPBC1604.08c,1799.43185940453,1737.16188925773,1628.77546083536,1609.8374014931699,1633.6241709620301,1573.9763032894698,1426.08996762295,1347.89574139386,1319.2906604571301,1858.3276572180398,1805.55292593677,1877.6741363766898,1661.2154469858099,1679.3703205455702,1477.47159646815,1486.02938406189,1613.88363461526,1513.81637262602
SPBC1604.06c,667.225063226794,572.33054987156,674.426855123988,835.107698560396,770.215422886461,648.7217250021799,320.48609841911303,387.27883776245005,375.52430318521004,591.1217353213041,487.899562371172,572.951043887566,607.604093450062,625.7349374369,589.049381364658,634.436613825849,700.855968520627,638.605389362721
SPBC1604.05,8355.43705843473,9486.31583212223,8887.515581149291,9822.699698311,10465.0622227064,12123.9655361668,10068.2390736233,12632.7324801801,11201.856926686101,9372.98531388673,9433.446083983628,10218.3385129695,8245.47842241739,7059.801638719699,9556.90200012414,7114.20600255187,9863.30306736625,8365.04145814513
SPBC1604.04,85.4048080930296,136.149117590591,143.036938486958,56.0133212449046,134.308027478422,92.17761776170391,84.8775968415916,97.853371818982,96.90949759618309,108.46270372868,84.92265110008199,93.0725242678758,126.045530024215,153.377302604427,143.020220166728,91.1204264152561,121.78808633309299,120.599938638643
SPBC1604.03c,125.141767414092,176.489596876693,165.33839663815002,97.4777278807431,158.97684885201,229.57444423669702,146.340684209641,165.385980539124,203.730193810158,168.11719077945298,166.058941960033,171.629150255441,166.44473836530898,143.374435043268,185.441471911096,145.622363710363,200.682255467109,189.51418928929698
SPNCRNA.545,1.77926683527145,7.56383986614397,2.30704739495093,0.0,6.85245038155215,1.73920033512649,5.85362736838563,12.403948540434302,1.1012442908657198,5.4231351864339805,8.6545376917281,5.97713458601037,0.0,8.89143783214068,10.908321877123301,3.4063710809441603,6.12770245701095,9.18856675342044
SPBC1677.02,346.363943932842,341.633433954169,314.52746151164297,245.876656893218,389.219181672162,441.756885122128,373.90044815563203,303.207630988395,303.943424278938,296.464723525058,386.74965309909896,332.157907708291,345.817223399769,371.217529491873,356.338514652695,407.061344172827,409.79010181260696,364.09695760428497
SPBC1677.03c,3156.4193657715505,2835.1793098263,2802.29356906706,3048.7250563298103,2979.4454258988694,3311.43743808083,1929.50192130411,1759.9824762371802,1863.3053401447896,2418.7182931495604,2488.1795863718303,2576.14500657047,2844.1042672130498,2797.46862793726,2489.5214595123603,2530.08212037127,2762.06188249769,2505.03301115125
SPBC26H8.03,2539.0137739323604,2120.3964424756896,2150.93718789258,2674.09050514636,2373.68881216966,2276.6132386805702,2669.25407998384,2137.61379846818,2387.4976225968803,2205.40830914982,2184.72985855561,2273.0188954228,2545.15012548895,2272.87379584096,2496.7936740971104,2335.0673759872197,2529.20918913127,2155.8674745212697
SPBC26H8.06,1440.61304762478,1357.7092559728399,1352.69878923956,1206.83246682204,871.631688533433,1191.3522295616401,982.677694467737,756.640860966494,687.176437500208,775.5083316600591,894.1219252766589,723.233284907255,1079.46684687405,1465.97581257419,793.883425501752,1490.28734791307,927.580959430033,1091.1423019686802
SPSNRNA.07,79684.4652176319,59991.335258343206,78934.0885866494,154121.01712822,129525.017112099,108324.353673018,129151.507442376,85685.0983008159,88907.85657875279,83850.7085409134,77817.81656377889,57459.9025280566,83856.6367536099,108422.192925123,64386.9758976024,95109.2869510418,113766.15785405801,52861.8245324278
SPBC26H8.16,107.94218800646799,109.675678059088,118.428432940814,79.2915846194105,112.38018625745501,27.8272053620238,119.999361051905,103.36623783695299,127.74433774042299,142.809226576095,167.140759171499,163.94426293057,139.781260860187,101.1401053406,119.991540648356,120.074580603281,92.68149966229059,109.114230196868
SPBC26H8.08c,2216.37338780314,1888.43868658061,1995.59599663255,2549.69728523884,2516.21978010595,2523.5796862685397,575.118888943888,594.011313436355,593.570672776622,1487.74675281172,1309.53973447961,1463.5440972031101,2169.43748791678,2350.67387687219,1950.16554447682,2105.98892079372,2037.4610669561398,2206.40459166508
SPBC26H8.10,648.246216983898,861.017104762722,842.841314955406,739.08486214056,683.874548078904,1029.6065983948802,436.826942365777,602.280612463312,687.176437500208,724.892403253342,539.82678852154,665.169691786012,707.7941301359759,855.80089134354,786.6112109170031,781.7621630766839,771.3245467762531,972.839505018389
SPBC32C12.02,122.17632268863998,199.181116475125,205.327218150633,30.552720679038895,65.7835236629006,88.6992170914509,78.29226605215771,107.500887350431,144.263002103409,88.57787471175502,110.345355569533,103.319040701036,74.3345433476139,125.591559378987,184.229436146971,102.191132428325,144.766970546884,220.52560208209098
SPBC32C12.03c,535.559317416706,463.91551179016403,512.164521679106,251.696222736844,327.547128238193,434.800083781622,366.58341394514997,296.316548465931,291.829737079415,439.27395010115197,471.131395593448,461.94711586165903,553.469154272995,546.823426676652,425.42455320780897,466.672838089349,520.0887460388041,452.536912605957
SPBC3B9.01,499.973980711277,615.1923091130429,737.4861505859799,501.93755401278196,763.3629725049091,904.3841742657739,536.338607628333,566.446983346501,541.812191105933,976.164333558116,1187.29438958395,882.054289621245,295.72220505681196,342.320356537416,306.645048323577,483.70469349407006,261.95928003721804,474.35975864533
SPNCRNA.1653,11.268689956719198,8.82447984383463,14.611300168022499,18.1861432613327,15.075390839414698,0.0,35.1217642103137,4.13464951347811,23.126130108180103,14.4616938304906,13.5227151433252,17.931403758031102,12.9277466691502,7.78000810312309,9.696286112998491,11.0707060130685,8.425590878390059,8.03999590924289
SPNCRNA.1654,3.5585336705429,3.78191993307199,2.30704739495093,11.6391316872529,6.85245038155215,0.0,9.512144473626641,9.64751553144893,20.923641526448602,0.0,5.40908605733006,5.97713458601037,6.46387333457512,3.3342891870527596,4.84814305649925,2.5547783107081203,8.425590878390059,3.44571253253267
SPBC3B9.21,78.2877407519438,61.771358906842394,91.51287999972021,47.283972479465,52.078622899796294,43.4800083781622,111.95062342037501,70.2890417291279,56.163458834151605,94.001009898189,71.9408445624898,70.87173866269441,55.7509075107104,75.5772215731958,46.057359036742795,80.90131317242371,73.5324294841314,64.3199672739431
SPBC3B9.05,81.8462744224867,89.50543841603701,88.4368168064523,85.1111504630369,87.71136488386749,187.833636193661,59.999680525952705,88.205856287533,61.66968028848021,84.9624512541324,58.9590380248977,69.16398592383429,80.798416682189,80.02294048926609,54.5416093856165,84.3076842533678,53.6173964988458,103.37137597598
SPBC3B9.09,94.30114226938679,75.63839866143971,85.3607536131844,86.5660419239435,53.449112976106704,95.6560184319569,144.145573946496,108.879103854924,110.124429086572,117.501262372736,90.331737157412,97.34190611502609,84.83833751629851,108.920113443723,100.59896842235901,85.1592770236039,68.1706898342468,96.4799509109146
SPBC3B9.10,393.21797059499,303.814234623449,308.37533512510703,345.53672196532096,279.579975567328,460.88808880852,471.948706576091,347.310559132161,368.91683744001506,403.119715524926,363.49058305257995,315.08038031969,328.849555896509,253.40597821600898,246.04326011733698,348.30144302653997,301.023383200663,264.171294160838
