,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio
SPAC3A11.11c,-194.7524665370095,-103.73727398399747,-91.02369749516542,-0.008504942153393813
SPAC3A11.08,-208.7474398832536,-104.95839569257035,-108.08577748434018,-4.296733293656928
SPAC3A11.07,-271.7411240213599,-142.2572570007264,-129.6190920628747,-0.13522504224118848
SPAC3A11.06,-218.79686707348753,-112.26150769676286,-110.68105645428638,-4.145697077561692
SPAC328.01c,-225.278561402027,-114.15990285467606,-116.32170003435017,-5.20304148699924
SPAC328.02,-251.9883788970878,-129.05877847864542,-128.6155906844199,-5.685990265977495
SPNCRNA.911,-125.93942628169943,-60.4532967212726,-72.49722926049549,-7.0110997000686694
SPAC328.03,-276.8479605890377,-161.83318767466028,-161.76573060813135,-46.75095769375389
SPAC328.07c,-203.53846485374498,-104.3701659390954,-103.30221289860313,-4.133913983953562
SPAC328.09,-200.20359868245845,-98.54217578425404,-102.04757667716773,-0.3861537789633189
SPNCRNA.913,-65.54397955023583,-32.78716188072867,-32.45541810678576,0.3013995627214001
SPAC16E8.01,-255.57361034333982,-133.42196436905914,-124.4681729389719,-2.316526964691235
SPAC16E8.04c,-192.25659546463564,-101.29701725993301,-96.92998264459187,-5.970404439889251
SPNCRNA.914,-155.49850071454355,-79.347569718195,-74.91126997770871,1.2396610186398505
SPNCRNA.562,-44.94855265889504,-20.27009389473547,-24.3304868387552,0.34797192540436583
SPAC16E8.08,-154.26613777261238,-82.01535579798224,-76.46871036386784,-4.217928389237699
SPAC16E8.10c,-179.71019622386066,-93.05988144745542,-92.03875158656305,-5.388436810157799
SPAC16E8.11c,-186.29662051084225,-96.49624433575993,-94.78770242957864,-4.98732625449631
SPAC16E8.18,-171.63957082454323,-81.40413258684086,-86.87169427359746,3.3637439641049127
SPAC16E8.12c,-197.14391942911848,-102.61799400490777,-98.01703372122029,-3.4911082970095606
