,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio
SPAC1039.02,-267.9660583056142,-137.99197914983918,-134.30524351576474,-4.331164359989772
SPAC1039.03,-194.4909531250481,-99.84192666677755,-99.39421017346537,-4.745183715194798
SPAC1039.05c,-197.90392654964973,-100.58024404813169,-101.55990502168163,-4.236222520163523
SPNCRNA.1084,-58.894837690149146,-37.96719624008615,-20.78985569349677,0.13778575656623104
SPAC1039.06,-187.42344880170933,-94.41322490006266,-93.25173534264452,-0.24151144099784005
SPNCRNA.1085,-56.796138840687114,-28.550989324598536,-28.377252262119136,-0.1321027460305544
SPAC1039.08,-142.73321688475582,-71.87910711560717,-73.98115376704064,-3.1270439978920312
SPNCRNA.1086,-123.3987278954028,-64.89341717737108,-57.089785202869436,1.4155255151622868
SPAC1039.09,-133.756849374206,-68.09499238652919,-69.33669643181639,-3.674839444139593
SPAC1039.11c,-165.0391692121941,-87.39342488412184,-81.50241509966938,-3.856670771597095
SPNCRNA.1087,-163.31273925669404,-87.03887929335757,-79.7159689994717,-3.442109036135236
SPNCRNA.1088,-131.36797046451346,-69.92743596219893,-64.37347949471065,-2.9329449923961306
SPNCRNA.1089,-106.440168214981,-56.119899005251476,-49.79429172389376,0.5259774858357389
SPAC922.04,-287.8447058066648,-147.0973052438692,-146.2940830578847,-5.546682495089043
SPNCRNA.278,-80.20442836877156,-42.49877679437537,-32.48873641690136,5.216915157494839
SPAC922.06,-178.37230271626314,-91.33204953096948,-89.61790570752562,-2.5776525222319435
SPAC922.07c,-174.88450181662688,-89.85830985163288,-90.65004930722128,-5.62385734222724
SPNCRNA.1090,-115.01627297387913,-61.13558566373209,-55.66874261146905,-1.7880553013220035
SPNCRNA.1091,-135.22935945815107,-73.8945076947254,-60.60576628231607,0.7290854811095926
SPNCRNA.1093,-56.02158606785693,-30.835609401256185,-23.667454988619532,1.5185216779812123
SPAC869.06c,-109.09352871498287,-58.6609380355769,-48.272985563216714,2.1596051161892693
SPNCRNA.279,-42.83985409591503,-21.339352413179945,-21.381367058318105,0.1191346244169793
SPAC869.05c,-180.24073555069688,-95.19330592070447,-89.11141337050918,-4.063983740516761
SPNCRNA.282,-32.750377586271604,-14.64688828962132,-17.18394967998502,0.919539616665258
SPAC869.02c,-222.69681198097007,-116.67356054742764,-104.13028801197895,1.892963421563508
SPAC869.01,-45.5502837454876,-35.059798368013695,-6.640186573909824,3.8502988035640726
SPAC186.01,-167.21625102247808,-91.23309045640234,-64.92285121106512,11.060309355010617
SPAC186.04c,-113.00249363114183,-37.97582854678746,-59.73514711436746,15.291517969986927
SPAC186.06,-89.42136536360462,-21.04559038366625,-55.346411028568326,13.029363951370044
SPAC750.01,-182.43506060414867,-96.03032211007208,-88.96885645395612,-2.5641179598795247
SPAC750.06c,-46.99829261427763,-15.155056532077383,-27.15836632001965,4.684869762180597
SPAC212.10,-90.0821254087828,-46.05292726763171,-46.752595187575,-2.723397046423898
SPAC212.08c,-92.0817577642178,-51.33532722077247,-39.83292401180765,0.9135065316376796
SPAC212.07c,-61.65674780191174,-33.5868523494951,-25.59969200089226,2.4702034515243767
SPAC212.06c,-61.25482056637826,-20.552141163085555,-38.47208007628679,2.2305993270059257
SPNCRNA.602,-147.2112326747247,-79.00099227703514,-66.2204152469576,1.9898251507320024
SPAC977.10,-220.81475122487726,-114.45456162114263,-112.59889868156242,-6.238709077827821
SPAC977.12,-233.79661848636925,-127.68096874058098,-128.29779210776093,-22.182142361972666
SPAC977.14c,-269.9961063812076,-140.54710234148962,-133.40911355717395,-3.9601095174559187
SPAC977.17,-202.18132463799407,-107.1702739775796,-97.12840227479649,-2.117351614381988
SPNCRNA.137,-36.84686630777246,-18.13852162235439,-18.381066803381152,0.3272778820369169
SPNCRNA.83,-146.0312620834914,-74.34482930250415,-73.45864547020652,-1.7722126892192591
SPAPJ695.02,-104.4383741069013,-51.72900556603089,-52.09239288542963,0.6169756554407968
SPAC1F8.01,-134.5166914564371,-71.30700298222196,-65.07303681054944,-1.863348336334326
SPAC1F8.03c,-220.3596717049567,-118.49988556940642,-110.87391735134564,-9.014131215795317
SPNCRNA.604,-137.9463900200444,-71.38990488494936,-73.30087059557593,-6.7443854604809115
SPNCRNA.605,-199.71934058303543,-112.23894236711429,-109.38285149701642,-21.902453281095234
SPAC1F8.04c,-137.02416881976396,-74.68975623149161,-64.5274565810489,-2.193043992776552
SPNCRNA.606,-130.2865076471297,-69.8282122660273,-58.82782400933207,1.6304713717703407
SPAC1F8.05,-166.4471178464136,-83.2793474875312,-87.0322388987112,-3.8644685398288345
SPAC1F8.07c,-368.1440408200216,-189.35920129476193,-180.68973317992584,-1.9048936546660684
SPAC11D3.04c,-220.58857729994855,-119.70565172650362,-107.99466730459974,-7.111741731154808
SPAC11D3.06,-184.01783726096755,-97.95717942218893,-89.29456008795059,-3.23390224917199
SPAC11D3.09,-157.1440497728073,-73.15717110561778,-91.69889015126009,-7.712011484070557
SPAC11D3.10,-165.76885310458627,-89.41087342886021,-70.0435881328275,6.314391542898535
SPAC11D3.13,-221.66050090856936,-115.90077203011214,-120.2856155023838,-14.525886623926539
SPAC11D3.15,-228.22921119118274,-118.01820434746557,-113.48701049042748,-3.276003646710308
SPAC11D3.17,-177.15383430528442,-88.12365948174843,-92.70247103271208,-3.67229620917604
SPNCRNA.611,-146.11783731177695,-77.93712387099353,-70.45398308523548,-2.2732696444520566
SPAC5H10.02c,-162.99112221410675,-88.46135764139036,-79.15184955240477,-4.622084979688367
SPNCRNA.613,-129.33049806585188,-64.8451769673908,-60.84360257782646,3.6417185206346265
SPAC5H10.05c,-199.1163138558586,-105.32968428721487,-96.26819708455601,-2.4815675159122463
SPAC5H10.07,-114.66525047610635,-59.413993263766784,-56.85203029849724,-1.6007730861576592
SPNCRNA.614,-155.26673834811004,-80.40282497919327,-80.49488559955867,-5.6309722306418735
SPNCRNA.615,-108.91812729559756,-55.108600236425616,-56.133683876685325,-2.3241568175134124
SPNCRNA.616,-116.71617827401985,-59.760972940957814,-57.1933250185394,-0.2381196854773577
SPAC13G6.02c,-339.709663434396,-169.74356237426667,-174.8116072688519,-4.845506208722611
SPAC13G6.04,-229.20429005178173,-119.17545989724091,-114.32620455741406,-4.297374402873203
SPAC13G6.05c,-179.49150896623857,-94.88871357780631,-86.35472320428433,-1.7519278158520706
SPAC13G6.06c,-258.38982453105757,-132.61117663595542,-131.45342898074085,-5.674781085638699
SPAC13G6.07c,-337.2550829842318,-169.5230338577226,-172.8329609078916,-5.100911781382365
SPAC13G6.08,-156.77724121784198,-81.57728833034994,-77.7964746727519,-2.5965217852599096
SPNCRNA.619,-183.38688279057538,-94.13417019634701,-93.51135173646144,-4.258639142233051
SPAC13G6.09,-199.28388223490796,-99.59202404191376,-103.86141598508043,-4.169557792086266
SPAC13G6.10c,-289.4009012339283,-151.0673619097924,-141.98996262397785,-3.656423299841947
SPAC13G6.11c,-203.37885412850144,-100.42230835293131,-107.03377620044644,-4.0772304248763485
SPAC13G6.12c,-194.2577574103654,-100.82210278011576,-96.83853303437306,-3.4028784041234417
SPAC24B11.06c,-229.41537933400616,-118.9859162947687,-116.08419424834506,-5.654731209107523
SPNCRNA.622,-171.77208191243926,-87.55167556298453,-87.9465163366632,-3.7261099872084738
SPAC24B11.07c,-193.6939702860713,-102.15908023203279,-93.87060475002052,-2.3357146959820057
SPNCRNA.623,-162.44869156244368,-78.45491105464001,-82.91669444257882,1.0770860652248757
SPAC24B11.10c,-209.42672213982956,-110.54285905030792,-100.46702982953299,-1.5831667400113645
SPAC24B11.14,-128.22026661920333,-67.75225913785584,-60.93705825164626,-0.4690507702987645
SPAC24B11.13,-214.13501430147159,-109.86494974157611,-108.10271635963501,-3.832651799739523
