,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio
SPBC887.07,-176.24214910414366,-91.79299421479332,-77.10480051738189,7.34435437196845
SPNCRNA.1270,-90.249273146176,-43.13907859343114,-46.09204520402224,1.0181493487226163
SPAP27G11.13c,-281.55388904605337,-126.76692796026599,-125.21201142468078,29.574949661106587
SPAC186.05c,-207.49626985998938,-88.50291422636515,-89.823482997115,29.16987263650924
SPAC6B12.15,-370.6238889849352,-170.00536615060534,-174.4542987693169,26.164224065012945
SPNCRNA.857,-190.96184381663844,-100.36742447681944,-96.71046138110643,-6.116042041287443
SPBC3B8.08,-197.22423893343853,-90.29842667975103,-82.46524807143118,24.46056418225632
