gene,sv_genes_spatialde,LLR_gpcounts,LLR_spatialde,sv_genes_gpcounts,gene_sh,llr_gpcounts_shuffled,LLR_shuffled,sv_genes_gpcounts_shuffled,sv_genes_spatialde_shuffled,sv_genes_spark
Stt3b,,0.959208282,0.673421543,,Cnnm4,0.268176829,0.265024972,,,
Aurkaip1,,0.958139852,1.236120703,,Cnot1,3.85E-06,0.00096401,,,
Zfp428,,0.957335354,0.758689522,,Cnot10,1.17E-09,0.093237938,,,
Uqcrc1,,0.956730493,1.515294524,,Cnot11,0.453545771,0.476389872,,,
Pnrc2,,0.955940479,0.000967311,,Cnot2,0.772364116,0.03147585,,,
2010320M18Rik,,0.955090166,0.280685027,,Cnot3,7.78E-07,0.000964033,,,
Ndufa13,,0.95497199,0.461254198,,Cnot4,0.058843053,0.136886625,,,
Spin1,,0.953994916,0.00096401,,Cnot6,0.506960181,0.172121227,,,
Dexi,,0.953781118,0.00096401,,Cnot6l,0.030476759,0.035677913,,,
Gm20748,,0.953707279,1.953316275,,Cnot7,4.55E-06,0.117648712,,,
Echdc2,,0.953651764,0.844085818,,Cnot8,0.107274079,0.000964011,,,
Exoc6b,,0.953285297,1.067140611,,Cnp,0.325332196,0.031318063,,,
Rcl1,,0.953074945,0.98204452,,Cnppd1,0.002763276,0.00096401,,,
Scn1a,,0.951994069,1.496739655,,Cnpy2,0,0.00096401,,,
Ptp4a1,,0.951103524,0.539563393,,Cnpy3,0.022139331,0.065972433,,,
Arhgef1,,0.950026741,1.892206763,,Cnpy4,0,0.000964009,,,
Eif3g,,0.949976644,0.923876652,,Cnr1,0,0.000964008,,,
Dicer1,,0.949425137,0.769247125,,Cnrip1,0.432867564,0.00096401,,,
Minpp1,,0.948389194,0.064721913,,Cnst,0,0.000964009,,,
1110037F02Rik,,0.948066024,1.447510806,,Cntd1,0.035398509,0.000964008,,,
U2surp,,0.947278382,0.907607168,,Cntfr,0.104291217,0.916600559,,,
Tprgl,,0.946692116,0.289870807,,Cntln,0.075733577,0.490329573,,,
Josd1,,0.946457266,2.088019854,,Cntn1,1.10E-05,0.165615586,,,
Nfe2l1,,0.946169968,0.228076092,,Cntn2,0.00011712,0.455456164,,,
Zfyve26,,0.944540686,2.451691678,,Cntn3,0.060472506,0.796581772,,,
Dnaja4,,0.944417592,0.00096401,,Cntn4,0.416537403,0.00096401,,,
Gli3,,0.944399221,1.917205461,,Cntn5,4.22E-06,0.00096401,,,
Flt3,,0.944131985,2.493158666,,Cntn6,0,0.000964009,,,
Tmem219,,0.942561947,0.705473869,,Cntnap1,0.022381219,0.00096401,,,
Blzf1,,0.942131427,2.070163887,,Cntnap2,0.78823424,0.479186461,,,
Higd1a,,0.941712495,0.332410627,,Cntnap3,0.001441378,0.000964009,,,
Sri,,0.941323462,0.000964057,,Cntnap4,0.00343001,0.289546944,,,
C330007P06Rik,,0.940931797,0.768295581,,Cntnap5c,3.91E-07,0.000964011,,,
Tmem106c,,0.940914274,0.08381728,,Cntrob,0,0.023271207,,,
Trpc4ap,,0.940832292,0.948241603,,Coa3,0.06517454,0.578809412,,,
St6gal1,,0.940660135,0.000964006,,Coa4,0,0.00096401,,,
Strada,,0.938991739,0.688509517,,Coa5,9.03E-05,0.004185199,,,
Flnb,,0.938605427,0.000970573,,Coa6,0,0.000964008,,,
Mtmr6,,0.938485811,0.204299358,,Coasy,0.01620525,0.000964011,,,
Fmr1,,0.937994897,0.00096401,,Cobl,0.130968637,0.000964009,,,
Fam43b,,0.937979781,0.532939411,,Cobll1,0.028876265,0.00096401,,,
Setbp1,,0.937591176,0.027928369,,Coch,0.290106572,0.000964007,,,
Kdm6b,,0.937046883,1.668312068,,Cog1,0.070181946,0.755918553,,,
Zfp2,,0.936454901,3.920038584,,Cog2,0.058753237,0.014522122,,,
Klf11,,0.934730661,1.513254546,,Cog3,0,0.000964009,,,
Cep350,,0.934455859,1.283462011,,Cog4,0,0.00096401,,,
Abcg1,,0.934373664,1.425994538,,Cog5,0.011582263,0.000964011,,,
Whrn,,0.934288338,0.054676558,,Cog6,1.273440631,1.347715685,,,
Rassf3,,0.934024327,0.883374736,,Cog7,0.011267765,0.000964011,,,
Drp2,,0.933515453,1.594356469,,Cog8,0.019711768,0.171234436,,,
Pdpn,,0.933081758,0.120562661,,Coil,0.037819876,0.000964009,,,
Zfp207,,0.932647877,0.298392232,,Col10a1,0,0.030501989,,,
Vcam1,,0.932630122,1.157830276,,Col11a1,0.848426737,0.000964009,,,
Slc12a4,,0.932357336,0.00096401,,Col11a2,0.015033616,0.009706695,,,
Acad8,,0.932196407,0.67558509,,Col12a1,0.480782031,0.519847254,,,
Nsmce2,,0.930805568,1.157628594,,Col13a1,0.000584491,0.00096401,,,
Dusp1,,0.930508297,0.54532922,,Col15a1,0.013378783,0.007500343,,,
B630019K06Rik,,0.930106622,0.093104918,,Col16a1,0.248510883,0.140100546,,,
Cep250,,0.929867629,0.375221575,,Col18a1,0.309666881,0.000964011,,,
Akr1a1,,0.929340585,0.186171082,,Col19a1,0.32040495,0.071322928,,,
Rps18,,0.929052575,0.00096401,,Col1a1,14.89368431,0.146550344,,,
Gmppa,,0.928681388,2.223254973,,Col1a2,5.715751264,0.000964011,,,
Morn1,,0.927957393,4.364360403,,Col20a1,0.058768786,0.00096401,,,
Pgap1,,0.927050077,0.000964008,,Col22a1,0,0.00096401,,,
Ctps,,0.925735186,0.703127576,,Col23a1,0.35478125,0.221519803,,,
5730408K05Rik,,0.924686714,1.135514258,,Col24a1,0.076770828,0.289112656,,,
Trim59,,0.924414211,0.417486719,,Col25a1,0.000481699,0.00096401,,,
Hdhd2,,0.922699505,0.006496441,,Col26a1,0,0.00096401,,,
Hsd17b4,,0.922405312,0.31983186,,Col27a1,0.235865021,0.000964018,,,
Phf17,,0.922280184,0.24221176,,Col2a1,0,0.000964011,,,
Rheb,,0.921758063,0.000968069,,Col3a1,0.134118919,0.339939223,,,
Srsf1,,0.921677782,1.186490179,,Col4a1,0.36591763,0.011374657,,,
Etv1,,0.921264203,1.245807687,,Col4a2,0.031438153,0.00096401,,,
Ptchd4,,0.921237675,1.624477073,,Col4a3bp,0.602161485,0.182080087,,,
D030047H15Rik,,0.920664502,0.489752228,,Col4a4,0,0.000964009,,,
Clpx,,0.920401863,1.412668308,,Col4a5,0,0.000964008,,,
Ifi35,,0.919519967,0.393130763,,Col4a6,0.074153643,0.555940308,,,
Dis3l,,0.919375593,0.201177708,,Col5a1,0.301241549,0.29560679,,,
Gtf2b,,0.91913655,0.683642078,,Col5a2,0.248208413,0.044208325,,,
Nol7,,0.918805808,0.000964011,,Col5a3,0,0.00096401,,,
Sh2d7,,0.918104616,0.748615576,,Col6a1,0.278069326,1.140905136,,,
C2cd5,,0.916729945,1.32880311,,Col6a2,0,0.00096401,,,
Hip1,,0.916429885,0.957790408,,Col6a3,0,0.000964008,,,
Wdtc1,,0.916150776,1.082400241,,Col6a4,0,0.00096401,,,
Tango2,,0.91525224,0.002865727,,Col7a1,0,0.703983815,,,
Snph,,0.913859028,0.609071184,,Col8a1,0.012043034,0.061458717,,,
Rpl22,,0.913329224,0.600360424,,Col8a2,0.002022959,0.000964011,,,
Slc25a27,,0.913284241,0.05318179,,Col9a1,5.14E-05,0.000964011,,,
Dpp6,,0.912989101,0.15475111,,Col9a2,1.55312451,1.0251107,,,
Pvalb,,0.912165044,1.036265463,,Col9a3,0.381961455,1.03369488,,,
Rnf130,,0.911832518,0.000964011,,Colec11,2.01E-06,0.000964011,,,
Spata2,,0.911336164,0.915547446,,Colec12,0.385161607,0.00096401,,,
Zcchc14,,0.910793661,0.959968205,,Colgalt2,0,0.000964008,,,
D19Ertd737e,,0.910192934,0.052775193,,Commd1,0.122282502,0.1893194,,,
Bri3bp,,0.910148245,0.381947654,,Commd10,0.051184079,0.003879322,,,
Cys1,,0.909855906,0.989207927,,Commd2,0.028579733,0.00096401,,,
Nol9,,0.909581593,2.932571595,,Commd3,3.05477568,3.975579233,,,
5730409E04Rik,,0.909059863,0.165835322,,Commd4,0.890400764,0.638621626,,,
Yars,,0.908178504,0.870212266,,Commd5,0,0.000964007,,,
Praf2,,0.907916301,0.000964008,,Commd6,2.968985275,2.11425775,,,
Hspa12b,,0.906921392,0.013628376,,Commd7,0.070917085,0.134660921,,,
AV039307,,0.906216229,0.632496777,,Commd8,0.162433761,0.014096405,,,
Smg1,,0.905678817,0.930014681,,Commd9,0.137327703,0.00096401,,,
Phospho2,,0.90524901,0.3713776,,Comt,0.001559631,0.322069322,,,
Grik3,,0.904989376,0.400906291,,Comtd1,0,0.000964006,,,
Gpr12,,0.904675834,1.315357534,,Copa,0.228454809,0.116607254,,,
Nfyb,,0.903762009,1.209490088,,Copb1,0.874988125,0.818267697,,,
Nuf2,,0.902514105,2.474687386,,Copb2,0.63043197,0.000964008,,,
Rftn1,,0.900990728,0.082211307,,Cope,0.016206693,0.09872102,,,
Klhl32,,0.900885807,0.911753562,,Copg1,0.197362997,0.025225607,,,
Tnfrsf1a,,0.900699498,0.224059033,,Copg2,0,0.447792351,,,
Asna1,,0.900679181,1.564413943,,Coprs,0.100263844,0.000964009,,,
Pkib,,0.900190254,0.482616967,,Cops2,0.212239283,0.199333774,,,
Ap3s1,,0.898023986,0.490434165,,Cops3,0.010065502,0.00096401,,,
Scara5,,0.897685925,0.523764519,,Cops4,0.071690371,0.000964011,,,
Dcaf11,,0.897583839,0.372135008,,Cops5,0,0.00096401,,,
Wdr76,,0.896718174,0.457834107,,Cops6,0,0.131968112,,,
Deaf1,,0.896665018,0.572001222,,Cops7a,0.015420796,0.000964007,,,
Camk2g,,0.896135317,0.409574176,,Cops7b,0,0.155114298,,,
Pet100,,0.895603706,0.314959385,,Cops8,0.178813767,1.0792558,,,
Klf9,,0.895098484,0.963925457,,Copz1,0.032070141,0.000964008,,,
Klhl9,,0.894918192,1.295006737,,Copz2,0.032906688,0.186818473,,,
Cyth1,,0.893389136,0.109387069,,Coq10a,0.124494109,0.00096401,,,
Atrn,,0.893119685,0.380899377,,Coq10b,0.240452888,0.261591156,,,
Zfp521,,0.893090277,0.574261647,,Coq2,0,0.000964011,,,
Lztr1,,0.892185971,0.778631345,,Coq3,0.000110962,0.062218258,,,
Sorbs2,,0.891907471,0.280880818,,Coq4,0.002340564,0.00096401,,,
Mrpl30,,0.890842709,1.641710186,,Coq5,0.151904831,0.046450948,,,
Dcaf12l1,,0.890624779,1.089610457,,Coq6,0.351421888,0.093881972,,,
Foxc1,,0.889966293,0.00096401,,Coq7,0,0.000964008,,,
Pcgf6,,0.889958458,0.154503565,,Coq9,0.021313181,0.003627637,,,
Gm6548,,0.888827027,1.372209212,,Coro1a,0.06616018,0.000964009,,,
Zfp787,,0.88855973,1.849902357,,Coro1b,0.627332975,0.440173818,,,
2700089E24Rik,,0.888280019,0.476201789,,Coro1c,0,0.444949456,,,
Aftph,,0.887629821,0.097790915,,Coro2a,0,0.000964009,,,
Pygo2,,0.886284889,0.757868058,,Coro2b,0,0.000964007,,,
Uchl3,,0.885991573,0.686795219,,Coro6,0,0.511453535,,,
Slc9a4,,0.885682703,1.64021029,,Coro7,0.47072885,1.19067811,,,
Scrn3,,0.885402573,2.292770412,,Cort,5.82E-07,0.000964007,,,
Unc5d,,0.88529562,0.705626139,,Cotl1,0.094070512,0.166070512,,,
Tob2,,0.884629666,0.883318728,,Cox10,0.777533154,1.680965375,,,
Tap1,,0.884288579,0.497378908,,Cox11,0,0.00096401,,,
Erc2,,0.883935832,0.501313846,,Cox14,0.07302435,0.000964011,,,
Gdf6,,0.88391625,0.528635685,,Cox15,0,0.00096401,,,
Lrrfip1,,0.883764197,0.667941939,,Cox16,0,0.000964009,,,
Atmin,,0.883569521,1.651234426,,Cox17,0,0.00096401,,,
Slirp,,0.882989994,0.8654052,,Cox18,0.059118534,0.557571559,,,
Cdc25a,,0.88275292,0.847354977,,Cox19,0,0.00096401,,,
Fam222b,,0.882208823,1.948299926,,Cox20,0,0.000964011,,,
Pogz,,0.88151492,0.007628277,,Cox4i1,5.457963131,0.000964006,,,
Cct8,,0.881137701,1.246424781,,Cox4i2,0,0.00096401,,,
Dohh,,0.880033514,0.165824453,,Cox5a,0,0.006784254,,,
Maz,,0.878880154,1.253094424,,Cox5b,0.122129956,0.274001787,,,
Tmem48,,0.878643228,0.039571363,,Cox6a1,5.223351254,0.000964009,,,
Il17d,,0.878361656,1.192725446,,Cox6a2,0.196193838,0.079897697,,,
Creb3l1,,0.877887999,0.706333169,,Cox6b1,0,0.000964007,,,
Gamt,,0.87722663,0.732414327,,Cox6b2,0.033900033,0.426624719,,,
Ltbr,,0.876802709,0.11797684,,Cox6c,5.256930828,0.000964107,,,
Akap7,,0.876182164,0.310621046,,Cox7a1,0.234010287,0.40588232,,,
Errfi1,,0.876024161,1.365581182,,Cox7a2,4.992616828,3.431639371,,,
Bglap,,0.876007939,0.000964009,,Cox7a2l,0,0.000964007,,,
Cyth4,,0.875383513,0.076854895,,Cox7b,5.095242957,0.00096401,,,
Rsf1,,0.874745986,0.708672226,,Cox7c,4.977201393,0.000964009,,,
Plekho2,,0.87440435,0.000964011,,Cox8a,5.220503584,0.208399774,,,
Acy1,,0.873868815,0.251002217,,Cox8b,0,0.00096401,,,
Ythdf3,,0.87328351,0.234934218,,Cp,0,0.00096401,,,
Plbd2,,0.872354547,1.799693375,,Cpa2,0.045313995,0.000972121,,,
Klhl5,,0.8722906,0.000964009,,Cpa6,0.041228683,0.00096401,,,
Inpp5b,,0.871942904,0.728045039,,Cpb1,0,0.000964011,,,
Slc24a2,,0.871714191,0.900904759,,Cpd,0.005523613,0.388322587,,,
Txndc15,,0.871306763,1.213752982,,Cpe,5.425927992,0.013223763,,,
Frem2,,0.870723604,1.258305417,,Cpeb1,0.125450211,0.00096401,,,
Nkain4,,0.870234364,0.572390816,,Cpeb2,1.712949534,1.094539908,,,
Slc9a9,,0.869704715,0.470789072,,Cpeb3,0,0.000964009,,,
Tbl1x,,0.869574247,1.774990268,,Cpeb4,0.38267734,0.000964008,,,
Secisbp2l,,0.869572194,1.216931337,,Cped1,0.165094122,0.286211452,,,
Fam53c,,0.868702755,0.510890508,,Cplx1,4.865546186,0.000964009,,,
Dnmt3b,,0.867794485,1.236354886,,Cplx2,0.027929877,0.627669665,,,
B4galnt4,,0.866237975,1.303602397,,Cplx3,0,0.361869413,,,
Ipo13,,0.865846643,0.640082229,,Cpm,0,0.000964012,,,
Nlgn2,,0.865395799,0.564169511,,Cpne1,0.027033786,0.171605872,,,
Osbpl9,,0.864761067,0.97550313,,Cpne2,0,0.287369031,,,
Zmym3,,0.86475894,0.810641746,,Cpne3,0.117111275,0.000964009,,,
Tbccd1,,0.863477448,1.378143304,,Cpne4,4.404251104,0.769109992,,,
Rpl36al,,0.863131012,0.95859843,,Cpne5,0.042233012,0.042576659,,,
Slc4a10,,0.863088542,0.836425562,,Cpne6,0.723176932,0.000964009,,,
Col5a3,,0.863016379,3.861486349,,Cpne7,0.476523501,1.092427413,,,
Sfxn1,,0.862939355,0.271377824,,Cpne8,2.711709559,2.575364231,,,
Lemd2,,0.861587382,1.17305744,,Cpne9,0.054790392,0.148168789,,,
Acot1,,0.861110112,0.02311752,,Cpox,0.144497763,0.000964009,,,
Tmem204,,0.859124142,0.070012007,,Cpped1,0,0.077298467,,,
Mvb12a,,0.858937491,0.971353219,,Cpq,0.011723035,0.000964011,,,
Csnk1e,,0.858872421,0.449022994,,Cpsf1,0.239309383,0.927717148,,,
Pcsk1,,0.858644327,1.814807453,,Cpsf2,0.025468838,0.000964008,,,
Nsun2,,0.858275486,0.776828192,,Cpsf3,0.130331344,0.014043339,,,
Rtn4rl1,,0.858151589,1.052303226,,Cpsf3l,0.047003295,0.152386614,,,
Rnf208,,0.85810475,1.135576486,,Cpsf4,0.259657396,0.000964005,,,
Chm,,0.856890009,0.292212732,,Cpsf6,0.000843999,0.00096401,,,
Slc25a26,,0.856752856,1.098908506,,Cpsf7,0.43653045,0.285599553,,,
Bahcc1,,0.856701781,1.975605893,,Cpt1a,0.335835682,0.701664031,,,
Golph3,,0.854676169,0.03661551,,Cpt1c,0.013911001,0.000964008,,,
Dync1h1,,0.85361036,0.366985691,,Cpt2,0,0.000964008,,,
Vangl2,,0.852998076,0.218464862,,Cpxm1,0.173797003,0.354907375,,,
Samm50,,0.852360723,0.000964007,,Cpxm2,1.42E-07,0.000964011,,,
Man2b1,,0.852344865,0.05806044,,Cpz,0,0.211316463,,,
Neurl4,,0.852130383,0.000964007,,Cr1l,0.004698463,0.000964121,,,
Vwc2,,0.851794776,1.3704018,,Crabp1,0,0.000964008,,,
Rpl39,,0.851743445,0.052126917,,Crabp2,0.149828608,0.098226671,,,
Rhbdl1,,0.850607776,2.114723403,,Cradd,0,0.02901876,,,
Zfp182,,0.85014977,0.748406898,,Cramp1l,0.388216054,0.243365087,,,
Dusp18,,0.85000855,0.719667346,,Crat,0.150584888,0.26174023,,,
Kif1a,,0.846847084,0.582424125,,Crb2,0,0.000964011,,,
Gdi2,,0.846021957,0.098231564,,Crb3,2.67E-06,0.00096401,,,
Suclg2,,0.845630705,0.070849177,,Crbn,0.182757801,0.000964009,,,
Ap1s1,,0.845575997,0.513627033,,Crcp,0.006682306,0.00096401,,,
Cd302,,0.845323253,0.572684418,,Creb1,1.679956927,2.191093788,,,
Pdcd5,,0.845174199,0.851946052,,Creb3,0.250930261,0.369231297,,,
Srd5a3,,0.844291246,1.30330481,,Creb3l1,0.006879877,0.002460466,,,
Samd14,,0.844044107,1.334891425,,Creb3l2,0,0.015758988,,,
Rtfdc1,,0.842820033,1.369115875,,Creb5,0,0.172415509,,,
Tyrp1,,0.842179121,3.429726768,,Crebbp,1.116888184,1.782992457,,,
Pianp,,0.841432982,0.629908039,,Crebl2,0,0.00096401,,,
Foxj2,,0.84135894,1.211918413,,Crebrf,0.306120226,0.000964007,,,
Slc22a18,,0.841050877,9.605980658,,Crebzf,0.376953404,0.940103634,,,
Zcchc17,,0.841042437,0.229377672,,Creg1,0.160588304,0.000964011,,,
Grpel2,,0.840031052,1.678804304,,Creg2,0.058557725,0.181293176,,,
Kif21b,,0.839177483,0.770991698,,Creld1,0,0.000964005,,,
Sdhb,,0.839118912,1.228207169,,Creld2,0.02081488,0.051596104,,,
Rttn,,0.838887278,2.111727749,,Crem,0.000267544,0.000964011,,,
Hecw2,,0.838471954,1.440072716,,Crh,0,0.000964009,,,
Serinc5,,0.83788894,0.997200926,,Crhbp,0,0.000964011,,,
Ing1,,0.837369375,1.314949597,,Crhr1,1.666345443,2.092600623,,,
Mcfd2,,0.836938068,0.865073683,,Crhr2,0.009295979,0.000967076,,,
Ablim2,,0.83689948,0.109174803,,Crim1,0.4391579,0.525906803,,,
Pnp,,0.836811586,0.285669026,,Crip1,0.248491432,0.500523624,,,
Maml2,,0.836585214,0.408206562,,Crip2,0.160236766,0.115323854,,,
Mcmbp,,0.836366749,1.325659063,,Crip3,0.850579007,3.061004445,,,
Unc119b,,0.836349548,0.784739946,,Cript,0.096268712,0.236662163,,,
Uqcr10,,0.836346533,1.066097298,,Crispld1,0,0.000964009,,,
Abcd1,,0.836067983,6.621259064,,Crispld2,0,0.300716279,,,
Gnpda2,,0.83601892,0.400038058,,Crk,0.004311606,0.02511009,,,
Lgals3bp,,0.834608647,0.000964011,,Crkl,0.850485894,0.556639221,,,
Frmpd3,,0.833570634,1.443229952,,Crlf1,0,0.00096401,,,
Gstt3,,0.832640081,0.000964011,,Crlf2,0,0.000964009,,,
Ccdc53,,0.831835127,0.532996231,,Crlf3,0.027665976,0.000964007,,,
Apln,,0.831484292,1.412787167,,Crls1,0.002868267,1.217843069,,,
Hfe,,0.831203625,0.000964008,,Crmp1,0.040609349,0.020947001,,,
Nf1,,0.830418047,0.106091369,,Crnkl1,2.29230705,2.281109678,,,
Heatr1,,0.82932577,1.460497857,,Crocc,0.028745105,0.627761785,,,
Pgm2,,0.829221778,1.673696917,,Crot,0.151875036,0.000964011,,,
Dbndd1,,0.829100006,0.794003413,,Crtac1,0.395520029,1.229542298,,,
Sox9,,0.828282273,0.15185719,,Crtap,0,0.000964008,,,
2900060B14Rik,,0.82768894,0.131266373,,Crtc1,0.45078904,0.686087198,,,
Glra2,,0.827049046,1.021819292,,Crtc2,0.031740772,0.000964008,,,
Ppp6r3,,0.827032881,0.974139768,,Crtc3,0.086663329,0.743597756,,,
Rasl12,,0.825894169,0.12015412,,Crxos1,0.082200579,0.212894022,,,
Jmy,,0.825512665,0.202309487,,Cry1,0.142806149,0.376829272,,,
Cenpc1,,0.825049626,0.664746699,,Cry2,0.00028921,0.000964008,,,
Zscan21,,0.824869058,0.00096401,,Cryab,1.533701597,0.000964011,,,
Pdk2,,0.824116158,0.726085619,,Cryba4,0,0.000964009,,,
Ppp1r18,,0.823714093,0.157232215,,Crybb1,0.283716499,0.281810834,,,
Akap6,,0.823663899,0.000964009,,Crybb3,4.20E-06,0.000964011,,,
Plcd1,,0.823554301,1.100253753,,Crybg3,0.02907015,0.147155265,,,
Cxxc5,,0.822905131,0.000964011,,Cryga,0,0.00096401,,,
Itgb5,,0.822074914,0.08987803,,Crygn,0.028803047,0.552983974,,,
Snapin,,0.821836792,0.000964011,,Cryl1,4.13E-07,0.000964009,,,
Map2k7,,0.82137567,0.526175336,,Crym,0,0.115214067,,,
Stmn4,,0.820941627,1.514647951,,Cryz,0.010155429,0.295616063,,,
Atrnl1,,0.820099565,0.763932775,,Cryzl1,0.16537737,0.000964007,,,
Ccdc80,,0.819439816,0.666874525,,Cs,0,0.180588212,,,
Zfp655,,0.819377825,0.751383415,,Csad,0.090777016,0.00096401,,,
Map2k6,,0.819014081,6.226945292,,Csdc2,0,0.00096401,,,
Slc25a38,,0.819010889,0.822946772,,Csde1,0,0.000964009,,,
Gnaz,,0.818810149,2.021417441,,Cse1l,0.017661524,0.017138025,,,
Ttpal,,0.818658426,0.108268519,,Csf1,0,0.786998986,,,
Polg2,,0.818436631,0.928048538,,Csf1r,0.149366931,0.000964007,,,
Ppp2r5e,,0.818381115,0.78002761,,Csf2ra,0.381841906,1.029761038,,,
Zkscan5,,0.818371913,3.740789369,,Csf2rb,0,0.00096401,,,
Cntn4,,0.817076909,0.535021614,,Csf2rb2,1.77E-06,0.000964011,,,
Slc16a12,,0.815609069,0.067233581,,Csf3r,6.99E-07,0.000971891,,,
Tmem201,,0.815147306,1.570132592,,Csgalnact1,0.227252665,0.527530143,,,
Smc1a,,0.81489608,0.117202789,,Csgalnact2,0,1.031456396,,,
Slc25a19,,0.814724466,0.619159805,,Csk,0.553093101,2.264069846,,,
Eps15,,0.814484861,1.440733481,,Csl,0,0.000964008,,,
Eapp,,0.813910924,0.521030967,,Csmd1,0.001623461,0.000964011,,,
Prdx6b,,0.813721127,0.801046113,,Csmd3,0,0.009884814,,,
Fbxo45,,0.813185573,0.448881776,,Csnk1a1,6.39E-05,0.000964011,,,
Cxcl5,,0.813002674,0.230894499,,Csnk1d,0,0.249624252,,,
4930579K19Rik,,0.812909805,0.12457016,,Csnk1e,0.03660973,0.000964011,,,
Bckdha,,0.812639269,1.293042981,,Csnk1g1,0.356196187,1.809449163,,,
Lrsam1,,0.812462342,0.93120969,,Csnk1g2,0,0.000964011,,,
Agap3,,0.812409221,0.754501335,,Csnk1g3,0.234711326,0.884737277,,,
Fbxo31,,0.810785924,1.19051125,,Csnk2a1,0.028073597,0.000964084,,,
Ube2k,,0.810649042,0.148410999,,Csnk2a2,0.550578996,1.699162911,,,
Lurap1l,,0.810275613,0.291244944,,Csnk2b,1.009472073,0.360363837,,,
Nus1,,0.810269451,0.049774827,,Cspg4,0.001910874,0.251492797,,,
Fgfbp1,,0.810199224,0.25047738,,Cspg5,0,0.049274268,,,
D030056L22Rik,,0.809951765,0.884469931,,Cspp1,0,0.000964008,,,
Lats2,,0.809850542,1.222012664,,Csrnp1,0,0.000964007,,,
Nrp2,,0.809431346,1.137320709,,Csrnp2,1.12E-07,0.000964034,,,
Rnf167,,0.80917254,0.624810864,,Csrnp3,1.925723964,1.372892882,,,
Rpl29,,0.808575744,0.620015204,,Csrp1,0.169371809,0.418426955,,,
Lrba,,0.808399617,0.063395845,,Csrp2,0.22034749,0.317883174,,,
Hs3st5,,0.808395373,1.042951123,,Csrp2bp,0.227638189,0.155639361,,,
Rnf181,,0.808285421,0.492241155,,Cst12,0.081038447,1.28523908,,,
Fcho1,,0.807779516,0.408702447,,Cst3,5.614260649,0.039922135,,,
Dusp14,,0.807615174,0.157687861,,Cst6,0,0.000964011,,,
Esam,,0.807239091,0.476682355,,Cst7,0,0.00096401,,,
Pno1,,0.80543681,0.405771618,,Cstb,0.047002694,0.000964007,,,
Fam169a,,0.804450968,0.680543874,,Cstf1,0.829254401,1.229752672,,,
Lor,,0.804148803,1.043467183,,Cstf2,6.18E-06,0.000964011,,,
Sec22a,,0.803695039,0.764212459,,Cstf2t,0.082925428,0.000964007,,,
Wsb1,,0.803188512,0.00096401,,Cstf3,0,0.000964008,,,
Dpys,,0.803108683,0.456406045,,Ctage5,1.133623417,1.026644842,,,
Aimp1,,0.802916953,0.000964006,,Ctbp1,4.698160367,0.124488222,,,
Rabggtb,,0.802365027,0.002269962,,Ctbp2,0,0.000964007,,,
Capn1,,0.800720455,1.351932151,,Ctbs,0,0.588749874,,,
Ttc7,,0.799686346,1.654734427,,Ctc1,0.042935381,0.000964007,,,
Rps15,,0.799617181,0.940350114,,Ctcf,0,0.00096401,,,
Kcnab2,,0.799291577,0.30729524,,Ctdnep1,0.059838284,0.004059357,,,
Bcr,,0.799209305,0.005855232,,Ctdp1,0,0.00096401,,,
Commd6,,0.79874398,0.00096401,,Ctdsp1,0,0.000964009,,,
Apba3,,0.79836409,1.43470684,,Ctdsp2,0,0.213893963,,,
Stard3,,0.798201021,0.000964008,,Ctdspl,0.484170811,0.161848522,,,
Slc23a2,,0.798156995,0.529879943,,Ctdspl2,1.11E-06,0.000964008,,,
Sgsh,,0.795988663,0.832804271,,Ctf1,0.108952406,0.043939732,,,
Prr18,,0.795559234,1.76350933,,Ctgf,0.07597829,0.026503745,,,
Pou2f1,,0.79483755,0.166210378,,Cth,0.198556826,0.258920583,,,
Rpl23a,,0.794618954,0.887044277,,Cthrc1,0.058214074,0.317524332,,,
Txnip,,0.793921872,0.00096401,,Ctif,0,0.088997976,,,
Gm2382,,0.793376823,1.473231105,,Ctla2a,0.021556421,0.000964009,,,
Kcnc1,,0.793305545,0.656752372,,Ctla2b,0.126768159,0.040412609,,,
2410016O06Rik,,0.793191383,1.44715086,,Ctnna1,1.021191404,0.987815115,,,
Trim30a,,0.792979948,1.292292029,,Ctnna2,6.41E-05,0.00646126,,,
1700084C01Rik,,0.792603936,1.129955301,,Ctnnal1,0.415633173,1.582025488,,,
Gorab,,0.791343747,0.50418565,,Ctnnb1,5.367688242,0.000964007,,,
Ap5m1,,0.791245024,1.995940785,,Ctnnbip1,0.157870873,0.000964005,,,
Nemf,,0.791232,0.000966794,,Ctnnbl1,0.080577474,0.126316472,,,
Elp3,,0.790992922,0.786230364,,Ctnnd1,0,0.00096401,,,
Rplp0,,0.789397847,0.073366311,,Ctnnd2,0.10531088,0.00096401,,,
Ppp4r4,,0.789240567,1.489590708,,Ctns,0.013594204,0.00096401,,,
Shc1,,0.789200516,0.977437822,,Ctps,0.004825557,0.000964008,,,
Zbtb26,,0.788923933,0.037738977,,Ctps2,0,0.000964011,,,
Phactr4,,0.788713753,0.000964009,,Ctr9,0.125640286,0.000964011,,,
Ifitm1,,0.788019338,1.083976429,,Ctrl,0,0.00096401,,,
Sos1,,0.787549229,0.047421305,,Ctsa,0.013804458,0.063576864,,,
