gene,sv_genes_spatialde,LLR_gpcounts,LLR_spatialde,sv_genes_gpcounts,gene_sh,llr_gpcounts_shuffled,LLR_shuffled,sv_genes_gpcounts_shuffled,sv_genes_spatialde_shuffled,sv_genes_spark
Ncdn,4933405L10Rik,57.22273635,13.64164207,Ahcyl2,1110012L19Rik,0,0.038578856,Aspa,Apod,Vat1l
Gng4,Gabra1,57.10366752,13.09965989,Gpsm1,1110015O18Rik,0,0.00096401,Hey2,Kif5b,Arhgdig
Gpsm1,Igfbp5,55.95110732,15.85502675,Dclk1,1110017D15Rik,0,0.00096401,Phgdh,Cck,Rgs12
Fabp7,Nr2f2,55.87592238,41.96622866,Mest,1110018G07Rik,0.389379974,0.682121767,Bgn,Fabp7,Laptm4a
Cpe,Cplx1,55.79384567,55.87592238,Marcks,1110019D14Rik,0,0.00096401,Gabra1,Cpe,Pkig
Lpar1,Ccnd1,55.14651751,20.85387847,Atp1b1,1110020A21Rik,0,0.000964009,Eif1,Penk,Tenm3
Atf5,Tubb2b,54.63012043,7.192084619,Cpne4,1110032A03Rik,1.62066351,0.789259242,Bpifb9a,Slc6a11,Sez6
Npy,Unc13c,53.26352404,12.9447864,Sepp1,1110032F04Rik,0,0.00096401,Plp1,Igfbp2,Cacng3
Sez6,Sepp1,52.62741335,11.9570181,Syn1,1110034G24Rik,1.02E-07,0.000964009,Egr1,Sash1,Prkcb
Marcks,Pcp4,52.58720563,30.40964497,Vtn,1110035M17Rik,0.001434297,0.000964008,Gm13889,Tspan7,Spock3
Ccnd1,Atp1b1,52.21644669,17.90521864,Gja1,1110037F02Rik,0.849708269,1.011551016,Tmem132b,Atp1b1,Lyn
Tubb2b,Tspan7,51.9373131,17.8717713,Apoe,1110038B12Rik,0.872870629,2.079771798,Pcp4l1,Pcp4,Atp1a2
Mest,Sash1,50.44178071,11.62475846,Trak2,1110038F14Rik,2.4302013,3.059942834,Pbx1,Sepp1,S100b
Penk,Igfbp2,50.39398168,16.07397632,Igf1,1110051M20Rik,0,0.00096401,B2m,Unc13c,Tbc1d9b
Fmo1,Slc6a11,49.98405872,11.21664302,Tubb2b,1110054M08Rik,5.30E-06,0.00096401,Ctxn1,Tubb2b,Ccsap
Vim,Penk,49.50713389,7.020373231,Vim,1110057K04Rik,0.394655106,0.288314603,Slc7a11,Ccnd1,Rbfox3
