gene_gpc,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,p_value,q_value,g_sde,LLR_sde
Nrf1,-249.2338208,-249.2338187,-2.10E-06,1,1,Lrrfip1,0.000964008
Zbtb5,-264.1469403,-264.3930262,0.246085867,0.619844724,1,Lix1,0.160295006
Ccnl1,-470.1798059,-470.1798263,2.04E-05,0.996399285,1,Whrn,0.00096401
Lrrfip1,-426.2881306,-426.3735567,0.085426039,0.770074589,1,Rab34,0.000964006
Bbs1,-399.456638,-399.7516121,0.294974132,0.587050481,1,Slc1a3,0.000964011
Lix1,-615.6018347,-615.7138251,0.111990349,0.737889431,1,Polr3k,0.000964006
Whrn,-343.7067182,-344.2797505,0.573032291,0.449056474,1,Inpp5f,1.098454829
Ate1,-505.8747979,-506.2723267,0.397528816,0.528368247,1,Atp5j2,0.635812116
Ubac1,-519.8977571,-519.8977245,-3.26E-05,1,1,Tnpo2,1.439213934
Rab34,-404.3824899,-404.3824905,6.25E-07,0.999369013,1,2010300C02Rik,0.846700457
Nap1l1,-707.4985749,-707.4985556,-1.93E-05,1,1,Commd5,0.000964007
Srgap3,-646.0024938,-646.2493284,0.246834533,0.619312852,1,Ints3,0.196058848
Slc1a3,-1118.958148,-1118.958142,-6.31E-06,1,1,Sox2,0.000964007
Polr3k,-360.3116701,-360.3116688,-1.25E-06,1,1,Cbx5,0.000964007
Inpp5f,-637.2051696,-638.0672053,0.86203569,0.353169645,1,Mapre1,0.100863545
Ndufaf6,-212.7972806,-215.2942812,2.497000614,0.114063348,1,Luc7l3,1.258138024
Atp5j2,-670.9372579,-671.0548549,0.117597012,0.73165548,1,Pi4kb,0.00096401
Tnpo2,-516.4263286,-516.4714452,0.045116624,0.831789726,1,Mink1,0.147056165
2010300C02Rik,-682.3779696,-683.2272643,0.849294665,0.35675195,1,Resp18,0.00096401
B3gat3,-534.1835519,-534.1835639,1.20E-05,0.99724167,1,Rnf10,0.000964007
Commd5,-219.2265179,-219.235179,0.008661118,0.92585182,1,Eef1a1,0.000964009
Ints3,-444.4310952,-444.4662287,0.035133523,0.851316146,1,Mdfic,0.031417722
Rbm6,-425.2656876,-426.5963879,1.330700333,0.248680666,1,Rhbdf1,0.00096401
Rnpepl1,-378.435487,-378.5063266,0.070839674,0.790118117,1,Zbtb14,0.000964007
Sox2,-597.0031892,-597.0031828,-6.38E-06,1,1,Fam213a,0.000964011
Cbx5,-626.178787,-626.3535731,0.174786083,0.675892827,1,Cldn5,0.00096401
Poldip3,-478.3271923,-479.0761342,0.748941864,0.38681145,1,Fam193b,0.92803206
Mapre1,-609.2458646,-610.4450966,1.199231998,0.273475231,1,Grik5,0.145426393
Luc7l3,-642.9992779,-643.1293944,0.13011644,0.71831134,1,Sh3bgrl,0.000964009
Pi4kb,-163.557267,-163.6085855,0.051318512,0.820784644,1,Cwc25,0.000964009
Mink1,-514.0682652,-514.0682592,-5.95E-06,1,1,Camkk1,0.649096868
Resp18,-418.6468674,-418.6468621,-5.31E-06,1,1,Chn2,0.147239652
Rnf10,-566.7902342,-567.3667008,0.576466578,0.447700652,1,Dhh,0.325042374
Eef1a1,-1110.651072,-1110.651053,-1.96E-05,1,1,Map3k11,0.061204598
Mdfic,-152.2538908,-152.5791329,0.325242085,0.568474244,1,Zmynd11,0.000964007
Rhbdf1,-318.8029416,-319.1204836,0.317542065,0.573088532,1,Cyfip2,0.00096401
Zfp605,-42.71313759,-42.71313737,-2.21E-07,1,1,Pmepa1,0.00096401
Zbtb14,-296.6767025,-298.635614,1.958911475,0.161629782,1,Rhbdd3,0.000964011
Sh3gl2,-810.8215201,-810.8215183,-1.74E-06,1,1,Med13,0.00096401
Fam213a,-746.1169994,-747.4390549,1.322055496,0.250223486,1,Nlk,0.00096401
Dbn1,-643.4395858,-643.4401733,0.000587453,0.980663227,1,Atm,0.000964009
Cldn5,-597.0652878,-603.0945631,6.029275251,0.014070509,1,Etv3,0.819713649
Fam193b,-409.9151475,-409.9151465,-1.06E-06,1,1,Tspan2,0.000964004
Grik5,-680.0047001,-680.0048466,0.000146557,0.990340987,1,Fam160a2,0.000964009
Pip5k1a,-124.7298749,-124.7298743,-5.98E-07,1,1,Zfyve20,0.123642636
Sh3bgrl,-714.0897728,-714.0898252,5.24E-05,0.99422705,1,Ctr9,0.000964011
Cwc25,-229.9294069,-229.9556257,0.026218826,0.871367054,1,Scly,0.000964011
Camkk1,-507.9575261,-507.9575444,1.83E-05,0.996582618,1,Fndc4,1.042808902
Chn2,-604.4477519,-604.5833294,0.13557746,0.712717812,1,Kif1b,0.00096401
Dhh,-104.5576099,-104.5628684,0.005258487,0.942191728,1,Polr2l,0.000964007
Map3k11,-264.4342472,-264.4342457,-1.51E-06,1,1,Gnb2,0.000964009
Zmynd11,-687.2975729,-687.3106773,0.013104401,0.908861696,1,Rapgef3,0.000964008
Snx13,-556.545421,-556.5911459,0.04572492,0.830676618,1,Sema3c,0.00096401
Ptbp3,-439.1676702,-439.1727198,0.005049595,0.943349605,1,Tipin,0.465497041
Secisbp2l,-624.2974997,-624.2974841,-1.56E-05,1,1,2310010J17Rik,0.000964011
Fyco1,-533.7075292,-537.1048755,3.3973463,0.065301396,1,Slc3a2,0.000964009
Cox5b,-715.7897189,-715.789762,4.31E-05,0.994761829,1,Rbmx,0.000964009
Rnf181,-496.8244148,-496.8774066,0.052991829,0.817936717,1,Ube2a,0.00096401
Cyfip2,-710.9330751,-710.9669781,0.033902991,0.853913316,1,Man1b1,0.000964009
Sptssa,-518.2173474,-518.2313112,0.013963785,0.90593418,1,Ndel1,0.000964009
Pmepa1,-695.8400239,-698.3365652,2.496541249,0.114096631,1,Arf4,0.39945002
Pde4dip,-612.2822095,-612.3397098,0.057500231,0.810491464,1,Lrfn4,0.232568743
Rhbdd3,-268.8765322,-268.9300123,0.053480077,0.817114685,1,Hist1h2ad,0.683573105
Oxct1,-819.0272462,-819.9286301,0.901383908,0.342410905,1,Dnajc4,0.488042679
Huwe1,-634.818937,-634.8189333,-3.70E-06,1,1,Usp33,0.181082873
Tcaim,-251.2861628,-251.286162,-8.34E-07,1,1,Tmem203,0.000964011
Med13,-613.2325572,-613.2325533,-3.89E-06,1,1,Mcfd2,0.00096401
Nlk,-541.5279907,-541.5915279,0.063537161,0.800990215,1,Epha10,0.00096401
Atm,-321.6598781,-321.6598892,1.10E-05,0.997352049,1,Slc9a3r2,0.234960656
Sptan1,-783.6125095,-783.6125036,-5.87E-06,1,1,Ahi1,0.000964008
Zcchc11,-427.9447129,-427.9447074,-5.48E-06,1,1,Aacs,1.354128375
Etv3,-370.4799433,-371.7654958,1.285552463,0.256869196,1,Trim11,0.270798891
Tspan2,-547.0994161,-549.4018601,2.302443986,0.129170611,1,Eif4ebp2,0.000964011
Fam160a2,-433.3197892,-433.3799924,0.060203241,0.806174997,1,Trpv2,0.109355835
Zfyve20,-409.8828086,-409.8828077,-8.87E-07,1,1,Higd1a,0.000964006
Ctr9,-393.6710696,-393.7967107,0.125641144,0.722994966,1,Hspa1a,0.000964008
Cers5,-485.0855909,-485.8771857,0.791594815,0.373618324,1,Psme2,0.030522086
Scly,-270.4276513,-270.4276503,-9.67E-07,1,1,Rps15a,0.000964008
Fndc4,-542.5653038,-542.5652972,-6.66E-06,1,1,Utrn,0.000964011
Kif1b,-753.3680747,-755.1170277,1.748952986,0.186008411,1,Fstl5,0.627913314
Polr2l,-506.0598352,-506.0846711,0.024835985,0.874776442,1,Arpc1a,0.00096401
Vcpip1,-440.093857,-440.0938528,-4.26E-06,1,1,Trmt11,0.005662424
Pcp4,-1097.69382,-1097.693816,-3.33E-06,1,1,Cdk14,1.217742623
Gnb2,-699.6913918,-700.9010091,1.209617272,0.271407934,1,Zmiz1,0.000964011
Rapgef3,-367.9657177,-368.3281496,0.362431927,0.547158698,1,Cops8,1.0792558
Sema3c,-621.0509171,-621.1572132,0.106296115,0.744401015,1,Hey1,0.645745591
Tipin,-253.0710054,-253.0710011,-4.23E-06,1,1,Cox14,0.000964011
Atp6v0d1,-708.4813988,-708.4813943,-4.46E-06,1,1,2410004B18Rik,0.22041106
Gpr137b,-336.134811,-339.6569136,3.522102526,0.060555582,1,Pdap1,0.000964009
2310010J17Rik,-156.4732627,-157.6592109,1.1859482,0.276148378,1,Gpatch2l,1.165876014
Slc3a2,-617.2657215,-617.897742,0.632020499,0.426615149,1,Hnrnpul2,0.000964008
Rbmx,-533.197552,-533.31348,0.115928073,0.733493487,1,Btbd3,0.000964011
Ube2a,-514.5161508,-514.7571028,0.240951974,0.623519393,1,B4galt5,0.000964007
Man1b1,-408.7829214,-408.7928459,0.0099245,0.920644597,1,Slc2a1,0.00096401
Ndel1,-535.0411656,-535.3306169,0.289451369,0.590572321,1,Vdac1,0.031956604
Cdk5,-480.9068202,-481.1847103,0.277890188,0.598087408,1,Plec,0.000964011
Arf4,-632.8644391,-633.0486541,0.184215074,0.66777562,1,Gclm,0.00096401
Lrfn4,-366.8452239,-366.8452234,-5.39E-07,1,1,Tuba1a,0.120271557
Hist1h2ad,-48.17797197,-48.17783165,-0.000140322,1,1,Pyroxd2,0.000964009
Dnajc4,-298.6638351,-298.6992543,0.035419205,0.850719946,1,Aip,0.00096401
Usp33,-575.507199,-575.6517581,0.144559091,0.703790076,1,Nudt3,0.000964006
Tmem203,-230.7259507,-232.6452155,1.919264766,0.165937735,1,Ccnh,0.000964011
Mcfd2,-537.9895024,-539.0562979,1.066795448,0.301670402,1,Ube2ql1,0.211697319
Epha10,-377.8495885,-377.9310173,0.08142878,0.77537043,1,Auts2,0.00096401
Slc9a3r2,-512.0199524,-512.4132925,0.393340067,0.530548925,1,Chmp5,0.000964011
Ahi1,-664.724276,-665.1024911,0.378215045,0.538560066,1,Slu7,0.000964009
Ap3b2,-538.0070776,-538.0072431,0.000165421,0.989738203,1,Mar-05,0.000964007
Tbx15,-72.19778199,-72.19778143,-5.66E-07,1,1,Htr3a,0.000964009
Aacs,-325.6699833,-325.6720692,0.002085886,0.96357208,1,Pld1,0.269898621
Trim11,-323.6629056,-323.662905,-6.74E-07,1,1,Zfp91,0.000964011
Snrnp70,-598.2224545,-600.2471192,2.024664687,0.15476308,1,Bgn,0.003718243
Dock1,-444.7670812,-444.7883672,0.021285987,0.884002559,1,Col9a1,0.000964011
Eif4ebp2,-109.8009975,-109.800999,1.49E-06,0.999026624,1,Ppp3cc,0.00096401
Trpv2,-98.8491074,-99.0565405,0.207433102,0.648786795,1,Mat2b,0.000964009
Higd1a,-642.4403929,-643.0066441,0.566251217,0.45175244,1,Daam1,0.00096401
Ngrn,-496.9205504,-496.9952646,0.074714208,0.78459264,1,Rps4x,0.000964007
Hspa1a,-215.0328579,-215.0329435,8.56E-05,0.992617961,1,Anapc4,0.00096401
Sep-08,-436.9683315,-436.9683281,-3.43E-06,1,1,Eprs,0.000964009
Psme2,-279.5818586,-279.5818575,-1.16E-06,1,1,Psmb10,0.00096401
Rps15a,-612.4452851,-612.5890281,0.143743012,0.704587946,1,Fancc,0.658385398
Utrn,-567.1254668,-567.125441,-2.58E-05,1,1,1200011I18Rik,0.000964011
Lsm3,-277.9728435,-278.7649469,0.792103396,0.373464862,1,Pygb,0.891782974
Wbp1l,-409.5958325,-409.6259789,0.030146422,0.862158415,1,Eomes,0.00096401
Gm10012,-797.602336,-797.6023377,1.66E-06,0.998971193,1,Aldh7a1,0.00096401
Fstl5,-632.6220339,-632.6240062,0.001972223,0.964577814,1,Aco2,0.239066611
Pgap1,-523.8226355,-523.8226305,-5.00E-06,1,1,Cdk17,0.61129595
Pam,-565.2571434,-565.2571413,-2.08E-06,1,1,Steap2,0.000964008
Arpc1a,-572.8715178,-573.7644819,0.892964165,0.34467531,1,Car10,0.240172696
Trmt11,-280.0318619,-280.0392695,0.007407639,0.931412645,1,Rpl10a,0.371760947
Gtf2h4,-237.4390392,-238.4444848,1.005445601,0.31599641,1,Cand2,0.000964008
Mageh1,-566.7524713,-566.7524979,2.66E-05,0.995885037,1,Ank2,0.609706222
Cdk14,-732.8564416,-733.2697591,0.413317458,0.520290479,1,Cul1,0.000964011
Zmiz1,-633.7825195,-634.7947491,1.012229545,0.314369301,1,Syt13,0.000964009
Ndufc1,-643.6000314,-643.6000745,4.31E-05,0.99476477,1,Tiam2,0.000964011
Ttyh2,-276.6718221,-276.7127207,0.040898509,0.839733951,1,Gpr37l1,0.00096401
Tpk1,-68.67674111,-68.67674076,-3.50E-07,1,1,Rwdd4a,0.000964011
Hnrpll,-448.1406186,-448.9817723,0.841153747,0.359067007,1,Kptn,0.000964011
Pde12,-280.6476718,-280.6675919,0.019920014,0.887760702,1,Hspe1,0.000964009
Cops8,-549.2368322,-549.236838,5.87E-06,0.998067064,1,Pitrm1,0.000964008
Arhgap5,-620.2471413,-620.5145623,0.267420954,0.605067088,1,Dlx6as1,0.379049948
Hey1,-440.2999986,-441.2171353,0.917136723,0.3382279,1,Arhgap32,0.00096401
Cox14,-624.1583776,-625.1261899,0.967812308,0.32522639,1,Scrib,0.000964007
Pak6,-442.7619258,-443.2247052,0.462779402,0.496327873,1,Arap2,0.000964012
B230217C12Rik,-358.3286079,-358.3289193,0.000311386,0.98592115,1,Cox4i1,0.000964006
2410004B18Rik,-414.2668241,-414.5748501,0.308026041,0.578894019,1,Cnn3,1.037966522
1600012H06Rik,-391.4226701,-391.4226664,-3.72E-06,1,1,Ryr3,0.004978084
Pdap1,-616.3294752,-616.3294695,-5.72E-06,1,1,Ppp1r36,0.000964009
Gpatch2l,-290.1452717,-290.1452708,-9.07E-07,1,1,Dhps,0.12374181
Rasgrp3,-219.2071006,-219.4110816,0.203980965,0.651526534,1,Cd24a,0.000964008
Hnrnpul2,-678.1742079,-678.1742209,1.30E-05,0.997126401,1,Wdr1,0.000964008
Adamts15,-202.5098836,-202.5098818,-1.78E-06,1,1,Slitrk5,0.00096401
Apc,-1008.970527,-1034.439913,25.46938582,4.49E-07,0.002901235,Map2k2,0.000964011
Rab33b,-454.8308313,-455.4003264,0.569495172,0.450459591,1,Itgb1,0.000964009
Btbd3,-769.5589045,-769.5589022,-2.32E-06,1,1,Myt1l,0.00096401
B4galt5,-455.762347,-455.7623462,-7.98E-07,1,1,Shprh,0.253203407
Slc2a1,-693.0685624,-694.7651532,1.696590728,0.19273444,1,Arhgdig,0.000964008
Rd3,-92.19928252,-92.22446269,0.025180168,0.873918948,1,BC002163,0.000964006
Coq6,-256.1627791,-256.4944594,0.331680301,0.564671337,1,Acsl4,0.000964006
Vdac1,-787.6309199,-787.6309164,-3.51E-06,1,1,Man2b1,0.234739762
Plec,-375.6830414,-375.6916589,0.008617452,0.926038435,1,Rmnd5b,0.036163353
Gclm,-368.6327365,-368.6327223,-1.42E-05,1,1,Lmnb2,0.02803331
Tuba1a,-1087.056198,-1087.056196,-1.28E-06,1,1,Laptm4a,0.000964011
Brd4,-550.5270407,-550.52714,9.92E-05,0.992051601,1,Slc39a1,0.007998986
Pyroxd2,-113.9170523,-113.9170518,-5.30E-07,1,1,Birc2,0.044199399
Itsn1,-588.3845618,-588.3983562,0.013794357,0.906503955,1,Srebf2,0.00096401
Ctsb,-860.7005175,-860.7005148,-2.73E-06,1,1,Atp6ap1,0.000964008
Srcin1,-443.976739,-443.9999149,0.02317582,0.879000747,1,Pkig,0.728869812
Tspan31,-488.1341451,-489.6485384,1.514393281,0.218469933,1,Eif3i,0.802528184
Paics,-469.0234193,-469.3420804,0.31866111,0.572413382,1,Ubr4,0.197464371
Mark1,-506.542334,-507.207794,0.665459947,0.414638968,1,Foxg1,0.00096401
Aip,-411.7013492,-411.7820934,0.080744271,0.77629132,1,Ints2,0.000964009
Nudt3,-659.030449,-659.0304514,2.36E-06,0.998773314,1,Yipf4,0.12492078
Ccnh,-608.2732732,-608.4221369,0.148863667,0.699623653,1,Tenm3,0.00096401
Ube2ql1,-841.8718852,-843.2402647,1.368379573,0.242090491,1,Sez6,0.000964008
Auts2,-408.8797261,-409.0439393,0.16421321,0.685306771,1,Ssbp4,0.00096401
Cd99l2,-433.8490183,-434.1118448,0.262826529,0.608184908,1,Lrrc8a,0.215698346
Tcerg1,-526.1268487,-526.1487607,0.021911945,0.882321588,1,Matk,0.702879135
Fzr1,-351.4955409,-351.5409005,0.045359603,0.83134417,1,Aftph,0.000964011
Chmp5,-633.0323148,-633.4375869,0.405272069,0.524379024,1,Tril,0.045569337
Mfsd2a,-393.4349861,-394.7977468,1.362760718,0.243059598,1,1810014B01Rik,0.000964005
Naca,-531.3444166,-531.3442113,-0.000205343,1,1,Flnb,0.000964006
Tada1,-481.8589566,-481.8735961,0.014639519,0.903695883,1,Ndrg3,0.000964009
Slu7,-462.9637319,-463.1270597,0.1633278,0.686110991,1,Cpne6,0.000964009
Tbp,-337.3070781,-337.3175472,0.010469086,0.918503831,1,Rtn4,0.000964011
Phc3,-439.7005424,-439.7005444,1.95E-06,0.998886204,1,Zhx1,0.192204789
Slc38a6,-98.45121057,-98.4512247,1.41E-05,0.997001531,1,Siah1a,0.093297668
Csnk1g3,-610.4706533,-610.4706528,-5.26E-07,1,1,Necab3,0.00096401
Mar-05,-600.1509241,-600.193849,0.042924865,0.835866811,1,Csnk1e,0.000964011
Gm13889,-752.0126855,-752.7465023,0.733816868,0.391648784,1,Nat14,0.000964011
Htr3a,-191.9690232,-191.969024,7.62E-07,0.99930334,1,Cacng3,1.313159078
Shisa3,-652.2567037,-653.4326064,1.175902725,0.278191701,1,Maea,0.000964007
Rab18,-651.9265188,-651.927126,0.000607229,0.980340512,1,Rps14,0.000964008
Pld1,-195.692454,-195.6924618,7.78E-06,0.997774156,1,Gaa,0.112850026
Zfp91,-624.2843545,-624.3787559,0.094401456,0.758654461,1,Wdr36,0.00096401
Plcl1,-392.4161826,-392.4416657,0.02548309,0.873169207,1,Rock1,0.000964006
Bgn,-504.7584554,-506.1342023,1.375746928,0.240826931,1,Ctsz,0.000964006
Col9a1,-64.73043129,-65.23411217,0.503680882,0.477887224,1,Clasp2,0.000964008
Neto2,-503.3899196,-503.4048617,0.014942169,0.902710402,1,Gpbp1,0.000964011
Ppp3cc,-454.1217901,-454.1984054,0.076615386,0.781937639,1,Rpp30,0.000964011
Mat2b,-578.6791158,-578.9928986,0.313782833,0.575368112,1,Gpatch4,0.000964009
Tgfbr2,-328.6074262,-328.6074256,-6.72E-07,1,1,Prkcb,0.000964011
Daam1,-417.1938696,-417.1938657,-3.84E-06,1,1,Fmr1,0.231422673
Rps4x,-698.7957489,-698.8203773,0.02462838,0.875296615,1,Slc48a1,0.00096401
Anapc4,-435.6906704,-436.1103339,0.419663554,0.517104972,1,Gna11,0.000964009
Eprs,-579.1592354,-579.3625489,0.203313485,0.652059486,1,Foxo3,0.000964011
Pcsk6,-351.1655103,-351.3898041,0.224293758,0.635787587,1,Fam76a,0.132341695
Ptprd,-750.4067248,-752.6152459,2.208521057,0.137250194,1,Sox12,0.090473156
Psmb10,-345.4471575,-345.4471563,-1.20E-06,1,1,Ndufa11,0.00096401
Fancc,-184.7840775,-184.7840785,9.67E-07,0.999215521,1,Neurl4,0.00096401
Acbd5,-580.9522355,-581.2432391,0.291003677,0.589578067,1,Lsg1,0.000964008
1200011I18Rik,-359.9027668,-359.9027933,2.65E-05,0.995893103,1,Lyn,0.000964011
Syt4,-588.2256133,-588.3455417,0.119928403,0.729112155,1,Rps12,0.00096401
Rbm42,-492.4469614,-492.5298355,0.082874074,0.773439688,1,Cldn12,0.000964011
Pygb,-668.4023616,-668.7863391,0.383977448,0.535482223,1,Zc4h2,0.614900576
Eomes,-635.0306298,-635.1943642,0.163734399,0.685741362,1,Dhodh,0.000964009
Aldh7a1,-472.7247786,-472.9329109,0.208132304,0.64823524,1,Dctn2,0.00096401
Mypop,-433.4354848,-433.4886687,0.053183861,0.817612931,1,Sdhaf1,0.00096401
Aco2,-755.2054528,-755.2054579,5.05E-06,0.998207267,1,Cpsf3,0.014043339
Nr2f1,-579.3745784,-579.3997216,0.025143178,0.874010815,1,Maf1,0.000964009
Cdk17,-677.2414931,-677.2414896,-3.56E-06,1,1,Diap1,0.000964008
Steap2,-452.5681939,-453.1402066,0.572012729,0.449460218,1,Nckipsd,0.276311422
Car10,-443.2179885,-443.519224,0.301235494,0.583108912,1,Gpr17,0.000964009
Lamtor1,-561.0043765,-561.0043735,-2.95E-06,1,1,Zfp740,0.000964009
Vps26a,-493.3834866,-493.3834848,-1.75E-06,1,1,Tbc1d9b,0.248271846
Sertad4,-460.4980703,-461.3246266,0.82655629,0.363270208,1,Arl2bp,0.000964009
Atg9a,-480.8452335,-480.8629889,0.017755476,0.893995927,1,Pop7,0.267115461
Rpl10a,-630.544546,-630.545064,0.000518012,0.981841819,1,Cnot7,0.117648712
B3galtl,-410.8547391,-410.9061258,0.051386702,0.820667641,1,Ccsap,0.250245667
Cand2,-414.9778621,-414.9779818,0.000119725,0.991269819,1,Hnrnpa2b1,0.000964009
Tmx3,-528.8426685,-530.4649223,1.622253867,0.202777804,1,Xpr1,0.000964007
Ank2,-775.4475706,-775.4475699,-6.45E-07,1,1,Kcnd3,0.083265957
Cul1,-580.2686778,-581.8827435,1.614065675,0.203921234,1,Ddx50,0.000964008
Syt13,-452.4020669,-453.0078537,0.60578682,0.436378571,1,D5Ertd579e,0.436055489
Tiam2,-701.3462405,-701.346237,-3.54E-06,1,1,Igsf11,0.000964008
Frmd3,-394.005792,-394.1269459,0.121153931,0.727786313,1,Emd,0.14451561
Clk4,-515.3153226,-515.6273045,0.311981877,0.576466565,1,Ntan1,0.542827776
Dopey2,-374.0537263,-374.0537248,-1.50E-06,1,1,Mrpl13,0.00096401
Gpr37l1,-784.0064032,-784.4393578,0.432954671,0.510542686,1,Cd274,0.00096401
Adnp,-609.2812117,-609.2817788,0.000567164,0.981000008,1,Tmed7,0.000964011
Cdca7l,-143.9979717,-144.1868962,0.188924493,0.663813264,1,Prkaca,0.000964011
Rwdd4a,-418.325086,-418.4905936,0.165507638,0.684135569,1,Rbbp6,0.00096401
Cuedc2,-571.9480645,-572.0464672,0.098402753,0.753754878,1,Aasdhppt,0.00096401
Kptn,-287.683443,-290.6173465,2.933903488,0.086737541,1,Bpgm,0.000964011
Hspe1,-637.2975977,-637.5060066,0.208408925,0.64801734,1,Ndufb10,0.270225355
Pitrm1,-355.0418345,-355.0440903,0.002255704,0.962119311,1,Banp,0.000964009
Dlx6as1,-592.0520091,-592.09189,0.039880956,0.841713518,1,Jmy,0.000964007
Arhgap32,-559.5111186,-560.7690361,1.257917469,0.262045654,1,Phactr1,0.00096401
Scrib,-520.9758072,-522.8791997,1.903392547,0.167699076,1,Eno2,0.00096401
Arap2,-630.1369813,-630.3107406,0.17375929,0.676792192,1,Mir703,0.000964007
Pcdhb7,-254.5954044,-254.8129016,0.217497178,0.640953596,1,Sh3glb2,0.514912105
Cox4i1,-905.8956194,-905.8956209,1.57E-06,0.998999943,1,Akr1e1,0.000964007
Cnn3,-699.567938,-702.700291,3.132352982,0.076752887,1,Selk,0.00096401
Ryr3,-320.3938943,-320.3938906,-3.70E-06,1,1,Scara3,0.000964006
Ppp1r36,-95.46076792,-96.27216677,0.81139885,0.367707003,1,Hspd1,0.000964009
Xrcc6bp1,-185.4447436,-185.7252211,0.280477487,0.596388426,1,Trim59,0.000964008
Ccdc85a,-436.8053998,-436.8389076,0.033507753,0.854757821,1,Ankhd1,0.000964006
Dhps,-249.5152664,-249.5152657,-7.14E-07,1,1,Dgat2,0.00096401
Cd24a,-506.8123926,-509.5994508,2.787058192,0.095028535,1,Klhdc3,0.000964009
Wdr1,-674.2499466,-674.691133,0.441186402,0.506550385,1,Sucla2,0.000964009
Copa,-610.811976,-610.8274885,0.015512504,0.900880445,1,Gpr158,0.00096401
Slitrk5,-557.2905231,-557.2905185,-4.57E-06,1,1,Rabgap1,0.00096401
Map2k2,-512.6729542,-512.9942095,0.321255297,0.570854232,1,Bap1,0.00096401
Itgb1,-566.4381954,-566.980693,0.542497538,0.461399505,1,Atxn10,0.000964009
Pikfyve,-473.1203429,-473.2311665,0.110823606,0.739208414,1,Tsn,0.299416433
Txndc15,-543.3986386,-543.3986287,-9.83E-06,1,1,Mtfp1,0.416889681
Myt1l,-664.5184347,-664.518427,-7.72E-06,1,1,Minpp1,0.000964009
Vat1l,-394.9645655,-395.7369493,0.772383799,0.379480614,1,Romo1,0.000964011
Shprh,-387.0060241,-387.472268,0.466243835,0.494720274,1,Ube2g2,0.000964004
Arhgdig,-473.2957421,-473.4107071,0.11496504,0.734560802,1,C030023E24Rik,0.000964009
BC002163,-681.3536504,-681.353653,2.63E-06,0.998705653,1,Mtpn,0.000964011
Acsl4,-546.0479328,-546.8665669,0.818634125,0.365579818,1,Ambra1,0.241278057
Rgs12,-527.789808,-527.9588638,0.169055808,0.680952307,1,Hbegf,0.704882716
Man2b1,-395.0931721,-395.1876489,0.094476825,0.758561131,1,Uggt1,0.000964009
Pex13,-403.9898659,-404.0017983,0.011932379,0.91301576,1,Btbd7,0.00096401
Prune2,-731.337932,-731.3379321,4.05E-08,0.999839448,1,Uvrag,0.543356394
Rmnd5b,-328.365069,-328.4456268,0.080557805,0.776542909,1,Yars2,0.000964007
Rad9a,-341.4263161,-341.5614912,0.135175034,0.713125595,1,Rpl4,0.00096401
Lmnb2,-286.8040094,-287.8817491,1.07773967,0.299203758,1,Srrm3,1.30312261
Sfrp1,-288.5427843,-288.6985191,0.155734837,0.6931141,1,Ssbp2,0.000964009
Gemin5,-229.9513607,-229.9513594,-1.28E-06,1,1,Dnm1,0.000964009
Laptm4a,-862.3497237,-862.349716,-7.70E-06,1,1,Tmem200c,0.568621373
Phka2,-228.0999508,-228.1000229,7.21E-05,0.993223835,1,Cacna1i,0.000964008
Slc39a1,-507.2772873,-507.3869144,0.109627123,0.740569051,1,Ndufc2,0.801069575
Birc2,-371.7257499,-371.7257475,-2.37E-06,1,1,Homer1,0.062182824
Srebf2,-237.5108696,-237.5109167,4.71E-05,0.994524597,1,Nrsn2,0.000964011
Atp6ap1,-616.191634,-616.2234097,0.031775756,0.858520712,1,Tsr2,0.00096401
Atp6v0b,-775.9299955,-775.9300106,1.51E-05,0.996898847,1,Reln,0.000964005
Pkig,-614.7596176,-614.9353366,0.175718946,0.675078422,1,Snhg5,0.000964008
BC030336,-468.6461639,-468.6461741,1.02E-05,0.997455354,1,Ccser2,0.000964009
Eif3i,-549.4356581,-549.9078486,0.472190478,0.491981168,1,Smyd2,0.000964006
Ubr4,-498.4102102,-498.413217,0.003006816,0.956270359,1,Nbl1,0.264940436
Phf1,-256.4522038,-256.4522021,-1.68E-06,1,1,Srpk2,0.00096401
D8Ertd738e,-587.3174561,-587.3174559,-2.39E-07,1,1,Slc35a5,0.000964009
Foxg1,-674.2465947,-674.2465755,-1.93E-05,1,1,Gm6710,0.000964005
Ptprs,-742.1797611,-742.1797546,-6.41E-06,1,1,Osbpl6,0.000964008
Ints2,-349.6155423,-349.6155399,-2.38E-06,1,1,Zbtb9,0.000964011
Rps23,-684.0578356,-684.0580961,0.000260525,0.987122075,1,Vmp1,0.00096401
Wipf2,-397.1610788,-397.1610753,-3.47E-06,1,1,Zkscan3,0.000964011
Psmd7,-526.6768078,-526.7884598,0.11165204,0.738271094,1,Ncald,0.000964008
Yipf4,-573.232687,-573.2326848,-2.19E-06,1,1,Insig2,0.00096401
Tenm3,-638.7343747,-639.1942808,0.459906019,0.497667898,1,Arid4b,0.000964011
Sez6,-802.4518953,-802.5019097,0.050014432,0.823038163,1,Ptp4a2,0.75439035
Ssbp4,-450.475398,-451.1625494,0.687151337,0.40713501,1,Dnajc30,0.000964011
Polr1c,-419.4046312,-419.4069088,0.002277544,0.961936509,1,Hspbp1,0.000964008
