gene_gpc,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,p_value,q_value,g_sde,LLR_sde
Doc2b,-60.1434092,-60.14340888,-3.19E-07,1,1,Mrpl1,1.379734033
C230035I16Rik,-79.58195193,-80.43614204,0.854190108,0.355369673,1,Cdv3,0.782826023
Zfp57,-68.40038434,-68.40038369,-6.58E-07,1,1,Dtna,0.380632824
Pi4k2b,-128.4708832,-129.2423287,0.771445461,0.379770259,1,Lrrc7,0.850210276
Ddx49,-65.14573827,-65.14573842,1.57E-07,0.999684248,1,Rab10,0.015380969
Rep15,-20.42281293,-20.4226949,-0.000118024,1,1,Tmtc4,0.329417183
Bves,-26.84111191,-26.84111182,-8.74E-08,1,1,Flna,0.878078882
Zfp780b,-126.4826616,-126.4826622,6.35E-07,0.999363966,1,Synj2bp,0.233352336
Ptprv,-37.22936195,-37.22936189,-5.58E-08,1,1,Gabpa,0.621119748
Rarres2,-14.63334737,-14.6333476,2.34E-07,0.999614131,1,Lrba,2.258140932
Map3k6,-47.54521774,-47.56845965,0.023241909,0.878829678,1,Nt5m,0.358136184
Pacrgl,-92.42675079,-94.56764804,2.140897247,0.143417988,1,Mpped2,0.355571176
Hist1h1d,-66.38933153,-66.38933144,-8.49E-08,1,1,Tmem97,0.130763635
Arhgef15,-128.1116195,-128.1116221,2.58E-06,0.998717539,1,Ndufa8,0.897105403
Pih1d2,-80.53891266,-80.54207087,0.003158212,0.9551841,1,Prkaa2,0.020136885
Frem1,-57.73620388,-57.73808234,0.001878459,0.965429552,1,Hmgcr,0.73888558
Nat8,-47.85696069,-47.85696004,-6.56E-07,1,1,Ifit3,0.001641504
B130006D01Rik,-26.01401398,-26.02585643,0.011842449,0.913342867,1,Eif2ak4,0.428663306
Zfp429,-37.57967766,-37.63399481,0.054317147,0.815714509,1,Ranbp6,2.68203748
Gnmt,-41.54783769,-41.54783767,-2.52E-08,1,1,Gstm5,0.217680677
Tectb,-29.37049701,-29.37049571,-1.30E-06,1,1,Rufy1,0.106431097
Cyp46a1,-86.76705638,-86.76694942,-0.000106956,1,1,Mta1,0.001855107
Zfp558,-23.33367639,-23.33367588,-5.12E-07,1,1,Fam78b,0.007569998
Zfp583,-15.81209481,-15.81194271,-0.000152097,1,1,Anapc7,0.038994648
4921507P07Rik,-44.63214895,-44.63214825,-6.95E-07,1,1,Lrrc61,0.548581079
Lrp5,-78.37761163,-78.37764119,2.96E-05,0.995662231,1,Tmx2,1.247288099
Myzap,-27.61697654,-27.61697644,-1.07E-07,1,1,Smc1a,0.315516234
Plcg2,-80.59713567,-80.5971356,-7.07E-08,1,1,Mbtps1,0.215836279
Pcid2,-75.48244467,-75.57872929,0.096284625,0.756334626,1,Vcp,0.054165727
Snora16a,-89.15460076,-89.15460059,-1.67E-07,1,1,Babam1,0.005689664
2700099C18Rik,-59.83515773,-59.83515786,1.34E-07,0.999708421,1,Pls3,2.432032622
Prrt1,-37.60772808,-37.6077277,-3.82E-07,1,1,Taldo1,0.804063297
9630001P10Rik,-78.4332364,-78.44045028,0.007213872,0.93231345,1,Cab39l,0.005356193
Fam154b,-66.86624898,-67.47711728,0.610868297,0.434461068,1,2810405F15Rik,1.303168137
Rnf43,-28.16842389,-28.16854454,0.000120647,0.991236275,1,Srek1ip1,0.097745916
Zfp395,-90.56276461,-90.82054916,0.257784551,0.6116463,1,Chsy3,0.388717155
Gemin6,-89.561527,-89.56153247,5.47E-06,0.998133125,1,Ifnar2,0.002541773
Pcdhb14,-151.8148561,-151.8148559,-1.68E-07,1,1,Kcnj10,0.667399046
Gm16523,-45.42005639,-45.42005579,-5.99E-07,1,1,Hpcal4,0.005406935
Gucy1b2,-19.01453464,-19.01454082,6.18E-06,0.998016147,1,Tor1aip1,0.67170056
Gm6525,-59.96483418,-59.97075645,0.005922269,0.938658324,1,Foxk2,0.594619098
P2rx1,-15.31112503,-15.31112542,3.93E-07,0.999499875,1,Serf2,0.137325371
Rxfp3,-29.29477419,-29.29456633,-0.00020786,1,1,Psmc5,0.454382512
5730480H06Rik,-96.71791374,-96.71791375,1.64E-08,0.999897766,1,Tmem135,0.307163684
Col8a2,-90.34998826,-90.35657386,0.006585602,0.935321295,1,Mapk8ip2,0.012671435
Dlk1,-39.14975004,-39.26553964,0.115789592,0.733646658,1,Zdhhc17,1.700446147
Vsig8,-47.21252026,-47.21251807,-2.19E-06,1,1,Gorasp2,0.212125314
Cd7,-23.50206978,-23.50340562,0.001335834,0.970844556,1,Cand1,0.328346885
4930429B21Rik,-47.19243001,-47.19242959,-4.22E-07,1,1,Tulp4,0.892938711
Nrp2,-126.2446779,-126.2447253,4.74E-05,0.994506221,1,Tnrc6b,0.450301373
Gm128,-15.87084429,-15.8707184,-0.000125889,1,1,AI848285,0.514326753
Zfp128,-119.5040926,-119.512039,0.007946457,0.928968344,1,Nfic,3.24164711
Ifih1,-98.343101,-98.34310578,4.78E-06,0.998255133,1,Bcl7b,0.125496202
Pkp2,-34.92501564,-34.92501538,-2.60E-07,1,1,Nap1l3,0.224822868
Gm11992,-60.76266229,-61.18504506,0.422382768,0.515750478,1,Rgs7bp,1.450583735
Fam101a,-100.6437387,-100.6497577,0.006018986,0.93816046,1,Rab3b,0.219588979
Fam219a,-61.41770704,-61.41891125,0.001204216,0.972317516,1,Trappc6b,0.009806204
Krt26,-27.81090419,-28.13323184,0.322327656,0.570212155,1,Rnf41,0.083156657
Erbb2,-80.07472033,-80.07472257,2.24E-06,0.998805805,1,Lamtor4,0.105158154
Adora2a,-88.7484799,-89.14533847,0.396858577,0.528716094,1,Snx11,1.148430146
Nagpa,-159.0693063,-159.0698977,0.000591409,0.980598235,1,Sdcbp,1.011644397
Nuak1,-104.0702052,-104.0702045,-6.12E-07,1,1,Pum2,0.797008222
