"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPAC212.11",10.5707059866856,-1.30253669943721,0.780949523827403,3.05515442021806,0.0804813443550257,0.423963614570414
"SPAC212.09c",52.9521738500202,0.143190462907682,0.411206176203678,0.110576858153905,0.739488344433033,0.912819201113621
"SPAC212.04c",21.0065706268992,-0.0369764618067317,0.519254943801701,0.00532030367924108,0.941853535575336,0.977764229719655
"SPAC212.01c",0.937524663306225,-0.15327446930839,1.68139867210722,0.00701798955337551,0.933236564137701,0.97668116276245
"SPNCRNA.601",8.99643845724093,0.152609449650356,0.671905051317111,0.0654917894127038,0.798017524668836,0.934311930945411
"SPAC977.11",65.9852283885354,0.0141325989707753,0.273022932439483,0.0203151336773431,0.88666046265722,0.963163690982211
"SPAC977.13c",38.1592592396564,-1.96675333993055,0.790596668064058,4.28445328608188,0.0384624503507813,0.316749134798122
"SPAC977.15",49.1736928961742,-2.03935698129955,0.43135856848422,22.2743724357007,2.36339836254108e-06,0.000725450754520943
"SPAC977.16c",85.2917165461915,-2.41638349976751,0.336922920796691,47.698600755092,4.97046259889093e-12,1.06798673041503e-08
"SPNCRNA.76",3.32801941684721,-0.6196726796607,0.767248577722272,0.72596136441237,0.394195408041438,0.735314084123708
"SPNCRNA.603",1.06098428031322,-3.20332696231281,2.02000224025046,2.34429079524964,0.125742776605465,0.497186684420716
"SPNCRNA.607",54.3371609709034,-0.653939291764255,0.664877472855698,0.744518530270938,0.388217265258757,0.731341650326518
"SPAC1F8.06",61.6498601475937,1.26883645949543,0.52589543332867,6.19225220792489,0.0128310788277081,0.203043808397311
"SPAC1F8.08",69.1207402462872,-0.0755629609805372,0.326218301681104,0.060737621888876,0.805333874652949,0.93743064684339
"SPAC11D3.19",14.2763922323505,-1.23895064522112,0.640760344433758,3.7062909946456,0.0542077214943335,0.358673382824572
"SPAC11D3.01c",335.662599406941,1.74495300449816,0.523551402649575,8.23067896934194,0.00411881178922326,0.115537486408713
"SPNCRNA.608",51.8729931240476,-0.00196104137659161,0.403912736654779,0.00347189471912657,0.953013608915013,0.980390142361931
"SPAC11D3.02c",471.627891750919,-0.716771546399523,0.265624897177987,7.84903231656776,0.00508479167946199,0.13039189774386
"SPAC11D3.03c",26.9087411313121,-0.389975495712878,0.536922074082223,0.487922702837267,0.484855405280793,0.791551392194336
"SPAC11D3.05",304.110778185575,-1.62704185726898,0.492727242485373,9.71460429201835,0.00182809437253158,0.0754154361451088
"SPAC11D3.07c",315.213182656398,-0.159009197740202,0.311795357559871,0.247382789217198,0.618923994900488,0.859921372468899
"SPAC11D3.08c",209.511325136829,-0.943818087869623,0.482097205185339,3.58589945755179,0.0582718631531978,0.371533560717619
"SPAC11D3.11c",146.797977598035,-0.176862799490545,0.250761592436604,0.471690485188731,0.492210492626382,0.79686531712696
"SPAC11D3.14c",157.026620974736,-0.303398755666137,0.192686629846327,2.63586320495176,0.104475264729165,0.46651717342829
"SPNCRNA.609",109.315782171401,0.270941989834682,0.396649188552072,0.446453753909537,0.50402383874112,0.804192491219124
"SPNCRNA.610",1.87808189901107,0.0690566633284469,1.54510047314005,0.00187391702870343,0.965471348408603,0.981377645628145
"SPAC11D3.16c",128.458120639118,-0.536957704748936,0.41937056212006,1.47594934462495,0.224409361917624,0.608154187645979
"SPAC11D3.18c",25.635357081298,0.121001401611679,0.422299783214973,0.0822096878152081,0.774324947232798,0.926797986416279
"SPNCRNA.612",43.8018107626951,0.317628159040278,0.516018499097572,0.38746043512009,0.53363733451608,0.821745403318359
"SPAC5H10.01",26.358170467602,0.039563885701662,0.383509974638061,0.018264837377842,0.892495282512708,0.964882616988745
"SPAC5H10.03",2506.63735339829,-1.17618787808033,0.160562005745968,52.160077535252,5.11556468700119e-13,1.64874649862048e-09
"SPAC5H10.04",58.5772326536567,-1.15471832760795,0.359617868078998,10.1473685894292,0.00144507369621735,0.0670743831720567
"SPAC5H10.06c",254.237859104661,0.154020770793411,0.335175174290009,0.237537048408484,0.625990674869774,0.862761575841471
"SPAC5H10.08c",345.979600549731,-0.159996438036986,0.224959521747211,0.499031896996797,0.479925807352446,0.787563359863186
"SPAC5H10.09c",113.349685362381,-0.0684032354206635,0.188917217374065,0.137210766531609,0.711069785175583,0.902205574310411
"SPAC5H10.10",295.816620167117,-1.36662532493774,0.205294521171744,44.827782703749,2.15148233497024e-11,3.46711378280454e-08
"SPAC5H10.11",9.33370350347547,-1.93604561498632,0.811587473820737,4.91479311521745,0.0266276519805138,0.27158519725695
"SPAC5H10.12c",372.322130535115,0.237362897105681,0.224032328600204,1.15135248758583,0.283266205514055,0.661715693332666
"SPAC5H10.13c",355.990124575315,0.303731283806805,0.348866863616826,0.788162264220233,0.374656395505381,0.722772898295168
"SPNCRNA.617",30.5470183573457,-0.0814454430028151,0.45276650385554,0.030987624744597,0.860267999908612,0.954255865898145
"SPAC13G6.01c",1262.26318625921,0.129622688676294,0.1844674816852,0.519835391207124,0.470911907856918,0.782112845052901
"SPAC13G6.03",436.865473085861,0.278402754685238,0.239179896976498,1.34743907440094,0.245726320673717,0.629347289688988
"SPNCRNA.618",11.9870678525189,1.14975707814716,0.758311870633162,1.62338714867526,0.202620144116198,0.583336064749002
"SPNCRNA.620",3.58197158919253,-1.86281774262965,1.3784264582833,1.3358502185153,0.247767118436756,0.630301593413473
"SPAC13G6.14",393.244473768051,-0.255593687504262,0.197135765736853,1.65457531374381,0.198337348670393,0.579974243810912
