,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,lengthscale,,pval,q value,BIC_periodic,BIC_linear,BIC_rbf
Nrf1,-249.2338202,-249.233818,-2.27E-06,0.000770382,,1,1,520.7103625,515.149681,520.7103669
Zbtb5,-264.3426344,-264.3930533,0.050418963,0.916293322,,0.822335844,1,551.0287612,545.46808,550.9279953
Ccnl1,-470.16012,-470.1798011,0.019681177,1.037425378,,0.888431165,1,962.6023286,957.041696,962.5629665
Lrrfip1,-425.489792,-426.3735562,0.883764197,4.088058341,,0.347172765,1,874.9898375,869.429156,873.2223105
Bbs1,-399.6631318,-399.7516118,0.088480081,0.540809274,,0.766118384,1,821.7459513,816.18527,821.5689901
Lix1,-613.6697085,-615.7138276,2.044119102,1.484279371,,0.152795407,1,1253.670538,1248.1097,1249.582144
Whrn,-343.3454629,-344.2797513,0.934288338,1.582508051,,0.333751077,1,710.8022285,705.241547,708.9336523
Ate1,-504.4699729,-506.2723227,1.802349834,1.751874363,,0.179428671,1,1034.787388,1029.22669,1031.182672
Ubac1,-519.8204675,-519.8977238,0.077256293,0.686505803,,0.781050615,1,1062.038174,1056.47749,1061.883662
Rab34,-404.3824904,-404.3824862,-4.23E-06,0.009052992,,1,1,831.0076995,825.447019,831.0077073
Nap1l1,-702.3421869,-707.4985564,5.156369472,1.37898383,,0.023161264,0.366510353,1437.239837,1431.67916,1426.9271
Srgap3,-646.0024941,-646.2493244,0.246830306,0.000103507,,0.619315853,1,1314.741378,1309.1807,1314.247715
Slc1a3,-1112.007846,-1123.880253,11.87240721,0.75654058,,0.000569717,0.02085081,2270.004086,2264.4434,2246.258419
Polr3k,-360.3116706,-360.3116681,-2.48E-06,0.000278246,,1,1,742.8660627,737.305381,742.8660677
Inpp5f,-637.6327455,-638.0671891,0.434443605,5.54E-14,,0.509816555,1,1298.377105,1292.81642,1297.508218
Ndufaf6,-215.292895,-215.2942818,0.001386767,0.573375847,,0.970294184,1,452.8312934,447.270612,452.8285165
Atp5j2,-669.2951945,-671.054857,1.759662513,0.829737124,,0.184666616,1,1373.310127,1367.74944,1360.833116
Tnpo2,-516.4712306,-516.4714455,0.000214821,1.978776766,,0.988306016,1,1055.185619,1049.62495,1055.185188
2010300C02Rik,-660.9115239,-683.2271097,22.31558576,1.758090098,,2.31E-06,0.000181863,1388.696941,1383.13626,1344.065774
B3gat3,-531.7578095,-534.1835646,2.425755175,3.530708714,,0.11935571,1,1090.609855,1085.04917,1085.758346
Commd5,-218.2163325,-219.2351824,1.018849881,2.81050527,,0.312791976,1,460.7130843,455.152402,458.6753915
Ints3,-444.466228,-444.4662273,-7.26E-07,0.035573703,,1,1,911.1751809,905.6145,911.1751825
Rbm6,-426.5618885,-426.5963088,0.034420278,3.88E-06,,0.852815683,1,875.4355814,869.8749,875.3665035
Rnpepl1,-378.2345046,-378.5063221,0.271817541,0.949704105,,0.602115148,1,779.2553731,773.694689,778.7117357
Sox2,-596.9755242,-597.003182,0.027657824,0.763836487,,0.867915818,1,1216.249116,1210.68841,1216.193775
Cbx5,-623.9139956,-626.3536321,2.439636525,0.819000874,,0.118303635,1,1274.949878,1269.38919,1270.070718
Poldip3,-477.5766987,-479.0761249,1.499426282,1.822096087,,0.220759659,1,980.3949752,974.834341,977.3961239
Mapre1,-610.3572288,-610.445098,0.087869152,2.062393646,,0.766903769,1,1243.132923,1237.57224,1242.957184
Luc7l3,-642.0676253,-643.1293933,1.061767976,1.120342916,,0.302812297,1,1308.501515,1302.94083,1306.377977
Pi4kb,-163.4834228,-163.6085856,0.125162844,0.649225438,,0.723501057,1,349.4598976,343.899216,349.2095721
Mink1,-513.8693273,-514.0682597,0.198932434,2.060610143,,0.655583938,1,1050.379254,1044.81856,1049.981381
Resp18,-418.2964574,-418.6468638,0.350406318,1.520171641,,0.553883213,1,859.5364509,853.975769,858.8356413
Rnf10,-567.2952017,-567.3667019,0.071500235,3.391161163,,0.789164834,1,1156.976137,1151.41546,1156.83313
Eef1a1,-1090.546884,-1116.379641,25.83275745,1.038232592,,3.72E-07,3.41E-05,2255.002339,2249.44175,2203.336495
Mdfic,-152.485287,-152.5791329,0.093845986,1.22626181,,0.759343562,1,327.4009928,321.840311,327.2133005
Rhbdf1,-315.3813364,-319.1204833,3.739146932,2.254399027,,0.053151575,0.671010409,660.4836941,654.92306,653.0053993
Zfp605,-42.71313789,-42.71313728,-6.12E-07,0.542744257,,1,1,107.6690011,102.108319,107.6690023
Zbtb14,-298.5445549,-298.6356134,0.091058437,0.962988975,,0.762835861,1,619.5139537,613.953272,619.3318363
Sh3gl2,-787.2966485,-815.2191842,27.92253574,2.324896155,,1.26E-07,1.28E-05,1652.680563,1638.32508,1596.836024
Fam213a,-734.5823312,-747.4390494,12.85671815,1.665426763,,0.00033627,0.013638076,1517.120843,1511.56014,1491.407389
Dbn1,-636.3190913,-643.4401739,7.121082529,2.411925596,,0.007618269,0.170225358,1309.123256,1303.56239,1294.880909
Cldn5,-561.3798271,-603.0945628,41.71473569,1.755325769,,1.06E-10,2.53E-08,1228.431861,1222.87125,1145.002381
Fam193b,-409.9151498,-409.915147,-2.81E-06,0.010289053,,1,1,842.0730202,836.512341,842.0730261
Grik5,-676.2312021,-680.0048439,3.773641782,2.014785619,,0.052066156,0.660802977,1382.252414,1376.69183,1374.705131
Pip5k1a,-124.6665618,-124.7298751,0.063313319,3.179262251,,0.801333731,1,271.7024754,266.141796,271.5758501
Sh3bgrl,-713.980348,-714.0897988,0.109450808,1.680598631,,0.740770251,1,1450.422331,1444.86164,1450.203423
Cwc25,-229.7703175,-229.9556255,0.185308027,0.79065552,,0.666850738,1,482.1539776,476.593297,481.7833615
Camkk1,-507.9465842,-507.9575247,0.010940504,1.396423381,,0.916695702,1,1038.157777,1032.5971,1038.135895
Chn2,-603.3326819,-604.5833323,1.250650433,1.523922027,,0.263428285,1,1231.409387,1225.84871,1228.90809
Dhh,-103.1488757,-104.5628357,1.413960003,2.406496311,,0.234400121,1,231.3683977,225.807715,228.5404779
Map3k11,-264.2424583,-264.4342465,0.191788162,1.789882876,,0.661432494,1,551.1112189,545.550537,550.7276431
Zmynd11,-685.7927354,-687.3107677,1.518032337,3.420400546,,0.217917502,1,1396.864081,1391.3034,1393.828197
Snx13,-555.5675069,-556.5911382,1.023631293,1.405280354,,0.311659202,1,1135.425148,1129.86446,1133.37774
Ptbp3,-439.1548094,-439.1727187,0.017909287,0.495911742,,0.893540496,1,900.5881843,895.027503,900.5523453
Secisbp2l,-623.4279183,-624.2974905,0.869572194,0.754497804,,0.351073771,1,1270.8377,1265.27701,1269.098563
Fyco1,-516.3793488,-537.1049021,20.72555329,1.846738781,,5.30E-06,0.000376835,1096.452539,1090.8918,1055.001424
Cox5b,-712.1552154,-720.6927035,8.537488106,2.742938539,,0.003479054,0.093426454,1453.822251,1448.26157,1446.553157
Rnf181,-496.0691204,-496.8774058,0.808285421,1.149360117,,0.368627652,1,1015.997564,1010.43687,1014.380967
Cyfip2,-710.9669294,-710.9668869,-4.25E-05,0.037774768,,1,1,1444.176501,1438.61585,1444.176585
Sptssa,-515.0303255,-518.2313117,3.200986182,2.206846637,,0.073593881,0.81851158,1058.70535,1053.14467,1052.303378
Pmepa1,-662.0731761,-698.336691,36.26351494,1.422767778,,1.72E-09,3.16E-07,1418.915861,1413.35531,1346.389079
Pde4dip,-612.2377017,-612.3397608,0.102059115,1.697973708,,0.74937247,1,1246.922148,1241.36147,1246.71813
Rhbdd3,-268.6447004,-268.9300136,0.285313198,0.91185148,,0.593239718,1,560.1027489,554.542067,559.5321273
Oxct1,-814.4972711,-819.9286282,5.431357104,1.882959323,,0.019778303,0.332826511,1662.099985,1656.5393,1651.237269
Huwe1,-634.8189343,-634.8189328,-1.45E-06,0.012097833,,1,1,1291.880595,1286.31992,1291.880595
Tcaim,-251.2861631,-251.2861615,-1.58E-06,1.51E-06,,1,1,524.81505,519.254368,524.8150527
Med13,-613.2325556,-613.2325501,-5.40E-06,2.69E-05,,1,1,1248.707826,1243.14715,1248.707838
Nlk,-539.9412433,-541.5915286,1.6502853,1.118100463,,0.198920105,1,1105.425805,1099.86512,1102.125213
Atm,-321.2779504,-321.6598894,0.381939064,0.845194995,,0.536567305,1,665.5625096,660.001828,664.7986273
Sptan1,-782.0689506,-783.6124986,1.543548055,3.27573874,,0.214090456,1,1589.467724,1583.90704,1586.380628
Zcchc11,-427.9447097,-427.9447074,-2.31E-06,1.350373774,,1,1,878.1321413,872.57146,878.1321459
Etv3,-370.1910177,-371.765495,1.574477339,2.287319822,,0.209557985,1,765.7737173,760.213037,762.6247619
Tspan2,-546.9296998,-549.4018591,2.472159352,0.497406529,,0.11587863,1,1121.046444,1115.48576,1116.102126
Fam160a2,-432.6040909,-433.3799893,0.775898419,2.008816404,,0.378398492,1,889.0027041,883.442029,887.4509083
Zfyve20,-409.8828083,-409.8828077,-6.35E-07,0.217209625,,1,1,842.0083412,836.447694,842.0083431
Ctr9,-393.4017257,-393.7967118,0.394986137,1.542294419,,0.529690051,1,809.8361903,804.275466,809.0461779
Cers5,-485.876772,-485.8771364,0.000364365,0.668116683,,0.984770626,1,993.996999,988.436319,993.9962705
Scly,-270.4276512,-270.4276503,-8.57E-07,0.069740493,,1,1,563.0980278,557.537345,563.0980289
Fndc4,-542.5653002,-542.5653254,2.52E-05,0.000217261,,0.995992469,1,1107.373387,1101.8127,1107.373327
Kif1b,-749.7028254,-755.1169947,5.414169328,1.120218487,,0.019973955,0.335194287,1532.476717,1526.91605,1521.648377
Polr2l,-506.0700942,-506.0846494,0.014555217,0.643060314,,0.903972221,1,1034.412033,1028.85135,1034.382915
Vcpip1,-440.0772156,-440.0938533,0.0166377,0.613659497,,0.897367771,1,902.4304392,896.869749,902.3971577
Pcp4,-1026.571847,-1102.358218,75.78637037,1.307290257,,0,0,2226.960416,2221.39992,2075.386421
Gnb2,-690.0872005,-700.9010091,10.81380857,1.443049222,,0.001007458,0.032824837,1424.044751,1418.48407,1402.417128
Rapgef3,-366.6218766,-368.3281524,1.706275768,0.950511661,,0.191469284,1,758.899026,753.338385,755.4864797
Sema3c,-617.5957777,-621.1572016,3.561423963,0.97162793,,0.059136988,0.712087932,1264.557128,1258.99647,1257.434282
Tipin,-252.7952168,-253.0710014,0.275784563,2.068938053,,0.59947757,1,528.3847312,522.82405,527.8331601
Atp6v0d1,-708.1415381,-708.4813939,0.339855868,1.590453024,,0.559912429,1,1439.205513,1433.64483,1438.525803
Gpr137b,-339.255825,-339.6569132,0.40108823,1.741543625,,0.526527784,1,701.5565529,695.995873,700.7543765
2310010J17Rik,-157.5335411,-157.6592109,0.125669825,0.766332714,,0.722964653,1,337.5611485,332.000466,337.3098087
Slc3a2,-614.5755587,-617.8977416,3.322182896,0.895786067,,0.068351018,0.780651639,1258.038209,1252.47753,1251.393844
Rbmx,-533.2366945,-533.3134647,0.076770212,0.112022643,,0.781722993,1,1088.869659,1083.30917,1088.716116
Ube2a,-514.757118,-514.7571028,-1.53E-05,0.943033125,,1,1,1051.756932,1046.19625,1051.756963
Man1b1,-408.535399,-408.7928425,0.257443447,0.013845207,,0.611882006,1,839.8284126,834.26773,839.3135245
Ndel1,-533.6960455,-535.3306119,1.634566353,0.914297195,,0.201072619,1,1092.903966,1087.34329,1089.634818
Cdk5,-481.1847147,-481.1847086,-6.18E-06,9.36E-06,,1,1,984.6121437,979.051462,984.6121559
Arf4,-633.048246,-633.0486554,0.00040944,0.77844989,,0.983856217,1,1288.340039,1282.77936,1288.339219
Lrfn4,-366.8390733,-366.8452231,0.006149756,1.90158916,,0.93749366,1,755.9331729,750.372492,755.9208731
Hist1h2ad,-48.17351394,-48.177831,0.004317067,0.9073518,,0.947613175,1,118.5984012,113.037707,118.5897544
Dnajc4,-298.0836216,-298.6992554,0.615633841,2.500120093,,0.432674421,1,619.6412381,614.080555,618.4099697
Usp33,-575.5372417,-575.6517596,0.114517902,1.39E-06,,0.735058054,1,1173.546244,1167.98556,1173.31721
Tmem203,-232.1200978,-232.645194,0.525096195,1.338505539,,0.468675849,1,487.5331147,481.972433,486.4829221
Mcfd2,-538.2193532,-539.0562913,0.836938068,1.855991783,,0.360273956,1,1100.355311,1094.79463,1098.681433
Epha10,-375.8413781,-377.9310177,2.08963965,1.288504287,,0.148301047,1,778.1047606,772.544079,773.9254827
Slc9a3r2,-511.373819,-512.4132919,1.039472882,1.795096957,,0.307944097,1,1047.069312,1041.50863,1044.990365
Ahi1,-662.6134421,-665.102491,2.489048875,1.67222137,,0.114640987,1,1352.447734,1346.88706,1347.469611
Ap3b2,-537.6892269,-538.0072439,0.318017022,3.676212652,,0.572801786,1,1098.257212,1092.69654,1097.62118
Tbx15,-72.19778188,-72.19778133,-5.52E-07,0.001184971,,1,1,166.6382892,161.077608,166.6382903
Aacs,-325.6699833,-325.6720678,0.002084493,0.006758789,,0.963584233,1,673.5868623,668.026181,673.5826931
Trim11,-323.6629079,-323.6629054,-2.50E-06,0.054596939,,1,1,669.5685377,664.007856,669.5685423
Snrnp70,-597.549068,-600.2471203,2.698052264,2.343025504,,0.10047092,0.981523602,1222.736968,1217.17628,1217.340863
Dock1,-443.3774472,-444.7883645,1.410917304,1.727957858,,0.234904175,1,911.8194096,906.258728,908.9976209
Eif4ebp2,-109.8009973,-109.8009977,3.72E-07,0.003117779,,0.999513143,1,241.844722,236.28404,241.8447211
Trpv2,-98.91117499,-99.05654047,0.145365483,1.134072469,,0.703004206,1,220.3558084,214.795127,220.0650765
Higd1a,-642.0649379,-643.0066504,0.941712495,2.64413155,,0.331837821,1,1308.256018,1302.69533,1306.372602
Ngrn,-496.8293963,-496.995303,0.165906713,0.664115885,,0.683775562,1,1016.233256,1010.67257,1015.901519
Hspa1a,-214.9988054,-215.0329436,0.034138166,0.976877454,,0.853413231,1,452.3086145,446.747933,452.2403373
Sep-08,-436.8968267,-436.9683279,0.071501197,2.275789621,,0.789163449,1,896.1793837,890.618701,896.0363799
Psme2,-279.3294223,-279.5818574,0.252435082,1.377527411,,0.615365657,1,581.4064425,575.845763,580.9015711
Rps15a,-612.4452841,-612.5890234,0.143739233,0.104524131,,0.704591647,1,1247.420773,1241.86009,1247.133295
Utrn,-566.5602798,-567.1254398,0.565160046,1.229144978,,0.452188621,1,1156.493607,1150.93292,1155.363286
Lsm3,-278.6637674,-278.663762,-5.49E-06,0.000137905,,1,1,579.7725471,574.009569,579.5702613
Wbp1l,-409.2721834,-409.6259835,0.353800046,2.108475135,,0.551969859,1,841.4946858,835.934004,840.7870933
Gm10012,-796.7851637,-802.6164729,5.831309233,1.245965861,,0.015743403,0.288447868,1627.46067,1621.9,1615.813054
Fstl5,-627.0136923,-632.6240079,5.610315585,1.259077964,,0.017855047,0.311122068,1287.490741,1281.93007,1276.270111
Pgap1,-522.8955801,-523.8226302,0.927050077,1.861699199,,0.335630636,1,1069.887987,1064.32731,1068.033887
Pam,-565.2571436,-565.2572523,0.000108743,0.067123499,,0.99167981,1,1152.756996,1147.19632,1152.757014
Arpc1a,-573.5400936,-573.7644816,0.224388001,1.233946671,,0.63571663,1,1169.771696,1164.21101,1169.322914
Trmt11,-278.8141413,-280.039269,1.2251277,1.756243218,,0.268356681,1,582.3212628,576.760581,579.8710091
